symbol,book_events,nonrpi_trades,median_spread_bp,p75_spread_bp,median_bid_usd,median_ask_usd
BTCU,473,0,2.5116279795354646,2.6832529137481402,698.54612,673.15395
ETHU,75,0,4.650007661945019,5.255643383619157,304.72631,302.9488
