symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
CHZUSDT,loose,10,1787022668750,1787022672126,1787022692136,buy,0.0117,8.54335753951268,5.40948753224956,320.82488167680754,-0.9908065981174317,4.273504273504099,4.273504273504099,0.0,7.0,-7.0,MT
CHZUSDT,loose,10,1787022705750,1787022712954,1787022730313,buy,0.01171,8.536064874092695,3.051559123186168,4.56082e+17,-0.9999999999999982,-4.269854824935778,-4.269854824935778,8.539709649871556,4.0,4.539709649871556,MM
CHZUSDT,loose,10,1787022734250,1787022744156,1787022764166,sell,0.01172,8.536064874092695,45.70969097786955,1.034535801208903,0.9079675017097859,-4.26621160409539,-12.79863481228765,-8.53242320819226,7.0,-15.53242320819226,MT
CHZUSDT,loose,240,1787022671250,1787022672132,1787022692372,buy,0.0117,8.54335753951268,9.382027926906428,2.69821e+17,-0.9999999999999998,4.273504273504099,4.273504273504099,0.0,7.0,-7.0,MT
CHZUSDT,loose,240,1787022705750,1787022712954,1787022730303,buy,0.01171,8.536064874092695,3.051559123186168,4.56082e+17,-0.9999999999999982,-4.269854824935778,-4.269854824935778,0.0,4.0,-4.0,MM
CHZUSDT,loose,240,1787022734000,1787022744156,1787022764396,sell,0.01172,8.536064874092695,34.592112717238344,1.5017802095702022,0.9079675017097859,-4.26621160409539,-12.79863481228765,-8.53242320819226,7.0,-15.53242320819226,MT
GALAUSDT,loose,10,1787022609500,1787022610054,1787022610381,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,17.18213058419323,10.309278350515342,6.872852233677889,4.0,2.8728522336778886,MM
GALAUSDT,loose,10,1787022612500,1787022615143,1787022617094,buy,0.001456,6.865774116031005,0.7259140931874596,2.164378981514745,-0.5078164437773658,-3.4340659340663895,-10.30219780219768,0.0,4.0,-4.0,MM
GALAUSDT,loose,10,1787022617250,1787022618888,1787022638898,buy,0.001456,6.865774116031005,1.2068348664098436,3.4844952574315613,0.16947206218219352,-10.30219780219768,-17.17032967033046,-61.81318681318756,7.0,-68.81318681318757,MT
GALAUSDT,loose,10,1787022639000,1787022639471,1787022643487,sell,0.001449,6.908462867013006,42.29988857042409,0.03309731034800603,0.8881650280553444,-17.253278122844133,31.055900621117647,-6.901311249136756,4.0,-10.901311249136757,MM
GALAUSDT,loose,10,1787022644000,1787022644067,1787022644133,sell,0.001441,6.9372181755110365,0.08187531971180986,0.07877801156371396,-0.5252943613425474,-34.698126301179826,-45.107564191533626,-6.939625260235363,4.0,-10.939625260235363,MM
GALAUSDT,loose,10,1787022645250,1787022652583,1787022654028,buy,0.001446,6.913238852401769,0.13107060411163046,0.7004466115554906,-0.5032783951098836,10.373443983402366,24.204702627937856,0.0,4.0,-4.0,MM
GALAUSDT,loose,10,1787022654250,1787022660579,1787022680589,sell,0.00145,6.89893066574623,1.165550665980689,0.7639717449532304,0.6007737776038654,3.448275862069423,-10.34482758620827,-55.172413793104795,7.0,-62.172413793104795,MT
GALAUSDT,loose,10,1787022680750,1787022683250,1787022703260,sell,0.001458,6.86106346483796,49.40319027480744,2.835965090227662,0.8300863646638696,-17.146776406034967,-10.288065843619789,-41.15226337448511,7.0,-48.15226337448511,MT
GALAUSDT,loose,10,1787022703500,1787022710077,1787022711685,sell,0.001464,6.832934745472606,50.58837107244427,9.290173394715374,0.766348828349406,3.4153005464485404,10.245901639344142,-0.0,4.0,-4.0,MM
