symbol,lat_ms,profile,n,mean_net_bp,total_net_bp,mean_gross_bp,mm_exit_rate,win_net,mean_markout1_bp,mean_markout5_bp,ci95_low_net,notional_roundtrip_usd
CHZUSDT,10,loose,3,-5.9975711861069,-17.992713558320702,0.0024288138930987913,0.3333333333333333,0.3333333333333333,-1.4208540518423562,-4.264995121239776,-17.396858675151325,600.0
CHZUSDT,240,loose,3,-8.84414106939742,-26.53242320819226,-2.84414106939742,0.3333333333333333,0.0,-1.4208540518423562,-4.264995121239776,-15.614878584364636,600.0
GALAUSDT,10,loose,15,-19.39095719946788,-290.8643579920182,-14.190957199467883,0.6,0.06666666666666667,-5.955741835064979,-3.8878673582103263,-30.78355193602453,3000.0
GALAUSDT,10,balanced,15,-19.868107989999746,-298.02161984999617,-14.668107989999745,0.6,0.26666666666666666,-4.3368195243567795,-3.4272873820704635,-34.32406340559459,3000.0
GALAUSDT,10,strict,10,-20.206778279072108,-202.06778279072108,-14.40677827907211,0.4,0.3,-2.0485205670500988,-7.537020213174715,-35.581175071302,2000.0
GALAUSDT,240,loose,14,-16.08020410872429,-225.12285752214004,-10.794489823010002,0.5714285714285714,0.14285714285714285,-2.446494832270971,-0.4918438247151071,-28.02134437846866,2800.0
GALAUSDT,240,balanced,11,-26.526826878395664,-291.7950956623523,-20.617735969304764,0.36363636363636365,0.09090909090909091,-7.1715270534793145,-7.167637796803434,-42.1178947702947,2200.0
GALAUSDT,240,strict,10,-25.14260274189204,-251.42602741892043,-19.942602741892042,0.6,0.1,-8.221836606304361,-7.538215621719742,-41.83965436347181,2000.0
