symbol,duration_s,book_events,agg_trades,median_spread_bp,p25_spread_bp,p75_spread_bp,median_bid_notional,median_ask_notional
WOOUSDT,179.039,264,22,9.799118079372457,9.799118079372457,9.799118079372457,536.7954000000001,729.2084100000001
CHZUSDT,178.965,853,95,8.536064874092695,8.528784648188767,8.536064874092695,4477.35363,4209.5896
GALAUSDT,179.53,5305,778,6.865774116031005,6.823609689526665,6.8941744226138075,2034.26495,2067.783096
