ts,price,qty,buyer_maker
1787022604369,0.001451,443636.0,True
1787022604571,0.001451,56052.0,False
1787022604623,0.001451,11131.0,True
1787022604628,0.001452,145863.0,False
1787022604719,0.001453,1746359.0,False
1787022604719,0.001454,378090.0,False
1787022604723,0.001453,191947.0,True
1787022604744,0.001452,5830.0,True
1787022604874,0.001453,514951.0,False
1787022604874,0.001454,213444.0,False
1787022604940,0.001453,413081.0,True
1787022605046,0.001452,4130.0,True
1787022605256,0.001452,27529.0,True
1787022605577,0.001452,68496.0,True
1787022605637,0.001453,138841.0,False
1787022605686,0.001452,10667.0,True
1787022606072,0.001452,7047.0,True
1787022606499,0.001453,17218.0,False
1787022606788,0.001452,11243.0,True
1787022606953,0.001453,6738.0,False
1787022607020,0.001452,6587.0,True
1787022607305,0.001452,6807.0,True
1787022607394,0.001453,1184353.0,False
1787022607394,0.001454,2502512.0,False
1787022607394,0.001455,3542627.0,False
1787022607394,0.001456,4199579.0,False
1787022607394,0.001457,3146698.0,False
1787022607394,0.001458,5295031.0,False
1787022607396,0.001458,2042252.0,True
1787022607396,0.001458,2213602.0,False
1787022607397,0.001459,21500.0,False
1787022607397,0.001458,26832.0,True
1787022607398,0.001457,164923.0,True
1787022607398,0.001456,34412.0,True
1787022607400,0.001457,137834.0,False
1787022607402,0.001457,75997.0,True
1787022607420,0.001456,200448.0,True
1787022607442,0.001455,29334.0,True
1787022607542,0.001457,294394.0,False
1787022607544,0.001457,48477.0,True
1787022607754,0.001457,68681.0,False
1787022607760,0.001458,3441.0,False
1787022607810,0.001457,441899.0,True
1787022608151,0.001456,270320.0,True
1787022608187,0.001455,246210.0,True
1787022608187,0.001454,913277.0,True
1787022608187,0.001453,1043657.0,True
1787022608190,0.001454,155136.0,False
1787022608315,0.001454,6635.0,True
1787022608916,0.001454,6896.0,True
1787022608920,0.001455,972753.0,False
1787022608939,0.001455,25121.0,True
1787022609190,0.001455,67255.0,True
1787022609315,0.001455,13745.0,True
1787022609380,0.001456,27443.0,False
1787022609451,0.001455,5843.0,True
1787022610054,0.001455,489865.0,True
1787022610137,0.001456,3785.0,False
1787022610259,0.001456,322052.0,False
1787022610381,0.001456,149109.0,False
1787022610381,0.001457,1513052.0,False
1787022610397,0.001457,6609.0,True
1787022610575,0.001457,8169.0,True
1787022610879,0.001457,11470.0,True
1787022611050,0.001458,4764.0,False
1787022611647,0.001457,3509.0,True
1787022611731,0.001458,19797.0,False
1787022611865,0.001457,11522.0,True
1787022612121,0.001457,7576328.0,True
1787022612200,0.001457,120452.0,False
1787022612571,0.001457,109814.0,False
1787022612704,0.001457,17159.0,False
1787022612706,0.001456,88127.0,True
