strategy,per_side_cost_bps,n,mean_gross_bps,median_gross_bps,mean_net_bps,win_rate,total_net_bps,t_stat_gross,breakeven_per_side_bps
flow_cont_1s,0.0,18848,0.00845510073515234,0.0,0.00845510073515234,0.13693760611205433,159.36173865615132,7.254043158834212,0.00422755036757617
flow_cont_1s,0.5,18848,0.00845510073515234,0.0,-0.9915448992648478,0.004191426146010186,-18688.63826134385,7.254043158834212,0.00422755036757617
flow_cont_1s,1.0,18848,0.00845510073515234,0.0,-1.991544899264848,0.00031833616298811547,-37536.638261343855,7.254043158834212,0.00422755036757617
flow_cont_1s,2.0,18848,0.00845510073515234,0.0,-3.9915448992648477,0.0,-75232.63826134385,7.254043158834212,0.00422755036757617
flow_cont_1s,5.0,18848,0.00845510073515234,0.0,-9.991544899264847,0.0,-188320.63826134385,7.254043158834212,0.00422755036757617
absorption_rev_1s,0.0,1432,-0.01087266075089062,0.0,-0.01087266075089062,0.1857541899441341,-15.569650195275369,-2.5355242041388864,-0.00543633037544531
absorption_rev_1s,0.5,1432,-0.01087266075089062,0.0,-1.0108726607508904,0.002094972067039106,-1447.5696501952752,-2.5355242041388864,-0.00543633037544531
absorption_rev_1s,1.0,1432,-0.01087266075089062,0.0,-2.0108726607508904,0.0006983240223463687,-2879.5696501952752,-2.5355242041388864,-0.00543633037544531
absorption_rev_1s,2.0,1432,-0.01087266075089062,0.0,-4.01087266075089,0.0,-5743.569650195275,-2.5355242041388864,-0.00543633037544531
absorption_rev_1s,5.0,1432,-0.01087266075089062,0.0,-10.010872660750891,0.0,-14335.569650195275,-2.5355242041388864,-0.00543633037544531
flow_persistence_1s,0.0,7945,0.010987430977023668,0.0,0.010987430977023668,0.1617369414726243,87.29513911245304,4.714191122720112,0.005493715488511834
flow_persistence_1s,0.5,7945,0.010987430977023668,0.0,-0.9890125690229763,0.005663939584644431,-7857.704860887547,4.714191122720112,0.005493715488511834
flow_persistence_1s,1.0,7945,0.010987430977023668,0.0,-1.9890125690229763,0.0007551919446192574,-15802.704860887547,4.714191122720112,0.005493715488511834
flow_persistence_1s,2.0,7945,0.010987430977023668,0.0,-3.9890125690229765,0.0,-31692.70486088755,4.714191122720112,0.005493715488511834
flow_persistence_1s,5.0,7945,0.010987430977023668,0.0,-9.989012569022977,0.0,-79362.70486088755,4.714191122720112,0.005493715488511834
flow_cont_5s,0.0,11178,0.03648513849319632,0.0,0.03648513849319632,0.2313472893183038,407.83087807694847,9.51258990067095,0.01824256924659816
flow_cont_5s,0.5,11178,0.03648513849319632,0.0,-0.9635148615068035,0.025138665235283592,-10770.16912192305,9.51258990067095,0.01824256924659816
flow_cont_5s,1.0,11178,0.03648513849319632,0.0,-1.9635148615068034,0.004204687779567007,-21948.16912192305,9.51258990067095,0.01824256924659816
flow_cont_5s,2.0,11178,0.03648513849319632,0.0,-3.963514861506804,0.00026838432635534085,-44304.169121923056,9.51258990067095,0.01824256924659816
flow_cont_5s,5.0,11178,0.03648513849319632,0.0,-9.963514861506804,0.0,-111372.16912192304,9.51258990067095,0.01824256924659816
absorption_rev_5s,0.0,1039,-0.03649228102904905,0.0,-0.03649228102904905,0.23387872954764197,-37.91547998918196,-2.528724392845241,-0.018246140514524525
absorption_rev_5s,0.5,1039,-0.03649228102904905,0.0,-1.036492281029049,0.01828681424446583,-1076.915479989182,-2.528724392845241,-0.018246140514524525
absorption_rev_5s,1.0,1039,-0.03649228102904905,0.0,-2.0364922810290493,0.005774783445620789,-2115.915479989182,-2.528724392845241,-0.018246140514524525
absorption_rev_5s,2.0,1039,-0.03649228102904905,0.0,-4.036492281029049,0.0009624639076034649,-4193.915479989182,-2.528724392845241,-0.018246140514524525
absorption_rev_5s,5.0,1039,-0.03649228102904905,0.0,-10.036492281029052,0.0,-10427.915479989184,-2.528724392845241,-0.018246140514524525
flow_persistence_5s,0.0,6494,0.041853907287234864,0.0,0.041853907287234864,0.27148136741607637,271.7992739233032,6.711389357965014,0.020926953643617432
flow_persistence_5s,0.5,6494,0.041853907287234864,0.0,-0.9581460927127652,0.036957191253464736,-6222.200726076697,6.711389357965014,0.020926953643617432
flow_persistence_5s,1.0,6494,0.041853907287234864,0.0,-1.9581460927127652,0.008315368032029567,-12716.200726076697,6.711389357965014,0.020926953643617432
flow_persistence_5s,2.0,6494,0.041853907287234864,0.0,-3.9581460927127656,0.0004619648906683092,-25704.2007260767,6.711389357965014,0.020926953643617432
flow_persistence_5s,5.0,6494,0.041853907287234864,0.0,-9.958146092712765,0.0,-64668.20072607669,6.711389357965014,0.020926953643617432
