symbol,book_events,agg_trades,median_spread_bp,p75_spread_bp
SOLUSDC,603,48,1.324064879179757,1.324064879179757
XRPUSDC,477,23,1.0086237329174443,1.0087254753617694
DOGEUSDC,384,5,1.433280787065138,1.4333835017553394
LTCUSDC,107,3,2.2586109542626787,2.2586109542626787
