ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787026990470,0.06976,59197.0,0.06977,16514.0,0.069765,1.4333835017553394,0.5637622010011756
1787026991692,0.06976,54929.0,0.06977,16514.0,0.069765,1.4333835017553394,0.5377013843203673
1787026991735,0.06976,54929.0,0.06977,26572.0,0.069765,1.4333835017553394,0.34793438117323716
1787026991736,0.06976,54929.0,0.06977,26335.0,0.069765,1.4333835017553394,0.3518655247095885
1787026991742,0.06976,54929.0,0.06977,26572.0,0.069765,1.4333835017553394,0.34793438117323716
1787026991820,0.06976,54929.0,0.06977,16514.0,0.069765,1.4333835017553394,0.5377013843203673
1787026992636,0.06976,49929.0,0.06977,16514.0,0.069765,1.4333835017553394,0.5029122706680914
1787026993098,0.06976,49929.0,0.06977,16692.0,0.069765,1.4333835017553394,0.49889674426982483
1787026993202,0.06976,49202.0,0.06977,16692.0,0.069765,1.4333835017553394,0.49336813670440405
1787026993508,0.06976,54202.0,0.06977,16692.0,0.069765,1.4333835017553394,0.5290997827742827
1787026993509,0.06976,54202.0,0.06977,14004.0,0.069765,1.4333835017553394,0.5893616397384395
1787026995083,0.06976,54202.0,0.06977,13928.0,0.069765,1.4333835017553394,0.5911345956260091
1787026995086,0.06976,54202.0,0.06977,14046.0,0.069765,1.4333835017553394,0.5883835423748681
1787026995098,0.06976,54202.0,0.06977,13868.0,0.069765,1.4333835017553394,0.5925370941677685
1787026995887,0.06976,49202.0,0.06977,13868.0,0.069765,1.4333835017553394,0.5602346599016965
1787026996098,0.06976,49202.0,0.06977,14045.0,0.069765,1.4333835017553394,0.5558682625262859
1787026996191,0.06976,49202.0,0.06977,16262.0,0.069765,1.4333835017553394,0.5031773188317243
1787026996727,0.06976,54202.0,0.06977,16262.0,0.069765,1.4333835017553394,0.5384309718437784
1787026996737,0.06976,74344.0,0.06977,16262.0,0.069765,1.4333835017553394,0.6410392247754012
1787026997099,0.06976,74344.0,0.06977,16085.0,0.069765,1.4333835017553394,0.6442512910681308
1787026997318,0.06976,54202.0,0.06977,16085.0,0.069765,1.4333835017553394,0.5423051204347888
