ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787026990275,44.27,14.951,44.29,59.678,44.28,4.516711833784106,-0.5993246593147357
1787026990276,44.27,14.46,44.29,86.678,44.28,4.516711833784106,-0.714054064743215
1787026990311,44.27,27.212,44.29,86.678,44.28,4.516711833784106,-0.5221353938010315
1787026991737,44.27,21.208,44.29,86.678,44.28,4.516711833784106,-0.6068442615353188
1787026992044,44.27,27.212,44.29,86.678,44.28,4.516711833784106,-0.5221353938010315
1787026993064,44.27,27.641,44.29,86.678,44.28,4.516711833784106,-0.5164233417017249
1787026993846,44.27,36.932,44.29,86.678,44.28,4.516711833784106,-0.4024431680284734
1787026994971,44.27,36.932,44.29,77.718,44.28,4.516711833784106,-0.3557435673789764
1787026995365,44.27,36.932,44.29,53.021,44.28,4.516711833784106,-0.17886007137060264
1787026995992,44.27,36.932,44.28,0.119,44.275000000000006,2.2586109542626787,0.9935764216889964
1787026995993,44.27,21.637,44.28,0.119,44.275000000000006,2.2586109542626787,0.9890604890604437
1787026996593,44.27,21.637,44.28,1.688,44.275000000000006,2.2586109542626787,0.8552625937834576
1787026998335,44.27,21.637,44.28,1.569,44.275000000000006,2.2586109542626787,0.8647763509436843
1787027002217,44.27,21.637,44.28,1.688,44.275000000000006,2.2586109542626787,0.8552625937834576
1787027009310,44.27,21.637,44.28,1.665,44.275000000000006,2.2586109542626787,0.857093811689947
1787027011324,44.27,21.208,44.28,1.665,44.275000000000006,2.2586109542626787,0.854413500633898
1787027016165,44.27,21.653,44.28,1.665,44.275000000000006,2.2586109542626787,0.8571918689424113
1787027016219,44.27,22.452,44.28,1.665,44.275000000000006,2.2586109542626787,0.8619231247667264
1787027020693,44.27,21.653,44.28,1.665,44.275000000000006,2.2586109542626787,0.8571918689424113
1787027020696,44.27,22.454,44.28,1.665,44.275000000000006,2.2586109542626787,0.8619345744018881
1787027027395,44.27,21.653,44.28,1.665,44.275000000000006,2.2586109542626787,0.8571918689424113
1787027027398,44.27,22.458,44.28,1.665,44.275000000000006,2.2586109542626787,0.8619574679765842
1787027029569,44.27,22.013,44.28,1.665,44.275000000000006,2.2586109542626787,0.8593631218852582
1787027031751,44.27,22.425,44.28,1.665,44.275000000000006,2.2586109542626787,0.861768368617648
1787027032460,44.27,21.62,44.28,1.665,44.275000000000006,2.2586109542626787,0.8569894782048162
1787027032463,44.27,22.426,44.28,1.665,44.275000000000006,2.2586109542626787,0.86177410651277
1787027034219,44.27,22.426,44.28,1.546,44.275000000000006,2.2586109542626787,0.8710161855497719
1787027035435,44.27,21.62,44.28,1.546,44.275000000000006,2.2586109542626787,0.8665285331951625
1787027035438,44.27,22.402,44.28,1.546,44.275000000000006,2.2586109542626787,0.8708869216635682
