symbol,book_events,agg_trades,median_spread_bp,p75_spread_bp,median_bid_usd,median_ask_usd
BTCU,70,0,2.184958792853572,2.5596523867200016,691.90524,698.5112399999999
ETHU,60,0,4.175111578535506,5.2718644814793985,312.071925,308.42044999999996
