capture,lat_ms,profile,order_usd,cap_usd,maker_fills,quote_attempts,filled_volume_usd,maker_volume_usd,liquidation_volume_usd,liquidation_share,gross_cash_pnl,fees_usd,net_pnl_usd,net_bp_per_volume,max_inventory_usd
gala_v6,10,symmetric,25.0,100.0,22,206,550.1520122252804,550.0,0.15201222528035255,0.0002763094961072422,-0.15201222528035255,0.1100760061126402,-0.26208823139299275,-4.763923889560744,75.2799794120592
gala_v6,10,symmetric,25.0,300.0,26,278,750.8261473626386,650.0,100.82614736263862,0.13428694207947048,-0.826147362638622,0.18041307368131934,-1.0065604363199414,-13.406038666282445,151.0143792624589
gala_v6,10,symmetric,100.0,100.0,15,189,1600.20916986456,1500.0,100.20916986456005,0.06262254444713727,0.20916986456006725,0.35010458493228,-0.14093472037221277,-0.8807268638770601,100.37994213766937
gala_v6,10,symmetric,100.0,300.0,20,240,2001.5217872011733,2000.0,1.5217872011733127,0.0007603150817065562,1.521787201173341,0.40076089360058675,1.1210263075727545,5.600869871820586,201.31105133889946
gala_v6,10,tox20,25.0,100.0,6,171,200.621016828994,150.0,50.62101682899399,0.2523216043319255,-0.6210168289939872,0.055310508414496994,-0.6763273374084843,-33.71168923866907,75.40484206089116
gala_v6,10,tox20,25.0,300.0,8,247,300.79189857882307,199.99999999999997,100.7918985788231,0.33508847497237493,-0.7918985788230941,0.09039594928941154,-0.8822945281125056,-29.33239001054075,100.92898233972346
gala_v6,10,tox20,100.0,100.0,5,171,600.4817542731186,500.0,100.48175427311858,0.16733523301594977,-0.4817542731185682,0.15024087713655931,-0.6319951502551275,-10.524801890444712,100.72080542023978
gala_v6,10,tox20,100.0,300.0,6,175,801.444615346021,600.0,201.44461534602095,0.25135188569337125,-1.444615346020953,0.2207223076730105,-1.6653376536939635,-20.77919823536352,201.78683017951764
gala_v6,10,tox40,25.0,100.0,6,178,200.621016828994,150.0,50.62101682899399,0.2523216043319255,-0.6210168289939872,0.055310508414496994,-0.6763273374084843,-33.71168923866907,75.40484206089116
gala_v6,10,tox40,25.0,300.0,8,262,300.79189857882307,199.99999999999997,100.7918985788231,0.33508847497237493,-0.7918985788230941,0.09039594928941154,-0.8822945281125056,-29.33239001054075,100.92898233972346
gala_v6,10,tox40,100.0,100.0,5,176,600.4817542731186,500.0,100.48175427311858,0.16733523301594977,-0.4817542731185682,0.15024087713655931,-0.6319951502551275,-10.524801890444712,100.72080542023978
gala_v6,10,tox40,100.0,300.0,6,181,801.444615346021,600.0,201.44461534602095,0.25135188569337125,-1.444615346020953,0.2207223076730105,-1.6653376536939635,-20.77919823536352,201.78683017951764
gala_v6,240,symmetric,25.0,100.0,14,224,350.06694158485107,350.0,0.06694158485104165,0.0001912250969713917,-0.06694158485104165,0.07003347079242551,-0.13697505564346718,-3.9128246450048314,74.95709185289658
gala_v6,240,symmetric,25.0,300.0,18,249,551.5007769620379,450.0,101.50077696203788,0.18404466721000576,-1.5007769620378753,0.14075038848101895,-1.6415273505188943,-29.76473323503382,174.92424039177703
gala_v6,240,symmetric,100.0,100.0,11,202,1200.9003643237202,1100.0,100.90036432372023,0.0840205959805347,0.9003643237202539,0.27045018216186006,0.6299141415583938,5.245348908800824,101.07231450149746
gala_v6,240,symmetric,100.0,300.0,14,228,1400.9741468200154,1400.0,0.9741468200153622,0.0006953353295109106,0.9741468200153907,0.28048707341000767,0.693659746605383,4.951267289120777,200.00002356942986
gala_v6,240,tox20,25.0,100.0,5,257,150.259698479639,125.00000000000001,25.259698479639002,0.16810694241518012,-0.2596984796390025,0.037629849239819504,-0.297328328878822,-19.787629809407047,25.31960356196905
gala_v6,240,tox20,25.0,300.0,5,257,150.259698479639,125.00000000000001,25.259698479639002,0.16810694241518012,-0.2596984796390025,0.037629849239819504,-0.297328328878822,-19.787629809407047,25.31960356196905
gala_v6,240,tox20,100.0,100.0,5,186,601.038793918556,500.00000000000006,101.03879391855601,0.16810694241518012,-1.03879391855601,0.15051939695927802,-1.189313315515288,-19.787629809407047,101.2784142478762
gala_v6,240,tox20,100.0,300.0,5,257,601.038793918556,500.00000000000006,101.03879391855601,0.16810694241518012,-1.03879391855601,0.15051939695927802,-1.189313315515288,-19.787629809407047,101.2784142478762
gala_v6,240,tox40,25.0,100.0,6,210,200.5700433072252,150.0,50.57004330722522,0.25213158691781323,-0.5700433072252196,0.05528502165361261,-0.6253283288788322,-31.177553664929867,50.65581045851905
gala_v6,240,tox40,25.0,300.0,6,265,200.5700433072252,150.0,50.57004330722522,0.25213158691781323,-0.5700433072252196,0.05528502165361261,-0.6253283288788322,-31.177553664929867,50.65581045851905
gala_v6,240,tox40,100.0,100.0,5,191,601.038793918556,500.00000000000006,101.03879391855601,0.16810694241518012,-1.03879391855601,0.15051939695927802,-1.189313315515288,-19.787629809407047,101.2784142478762
gala_v6,240,tox40,100.0,300.0,5,264,601.038793918556,500.00000000000006,101.03879391855601,0.16810694241518012,-1.03879391855601,0.15051939695927802,-1.189313315515288,-19.787629809407047,101.2784142478762
gala_oos,10,symmetric,25.0,100.0,39,362,1049.568284257033,974.9999999999999,74.56828425703301,0.07104662495572484,0.43171574296700044,0.2322841421285166,0.19943160083848382,1.9001298327117155,74.8112466046994
gala_oos,10,symmetric,25.0,300.0,43,384,1249.2976824160341,1075.0,174.29768241603406,0.13951653386481702,0.7023175839659359,0.30214884120801716,0.40016874275791875,3.203149644718998,174.73925869497197
gala_oos,10,symmetric,100.0,100.0,21,271,2197.4913032530835,2100.0,97.49130325308369,0.04436481869519175,2.508696746916357,0.468745651626542,2.0399510952898146,9.28309064190583,102.70055689157758
gala_oos,10,symmetric,100.0,300.0,30,348,3198.1330666844597,3000.0,198.13306668445983,0.061952727592372074,1.8669333155402228,0.6990665333422302,1.1678667821979927,3.651714165254335,200.28859326661993
gala_oos,10,tox20,25.0,100.0,17,258,499.26554330565614,425.0,74.26554330565611,0.14874958687102885,0.7344566943438906,0.12213277165282807,0.6123239226910625,12.264493933165156,74.95638290198332
gala_oos,10,tox20,25.0,300.0,21,294,699.0309643691771,525.0,174.03096436917718,0.24896030825505283,0.9690356308228161,0.19201548218458864,0.7770201486382274,11.115675674530808,174.67012510190534
gala_oos,10,tox20,100.0,100.0,11,196,1198.501323813421,1100.0,98.50132381342107,0.08218707969383557,1.4986761865789475,0.2692506619067105,1.229425524672237,10.258023919076038,101.83076448095947
gala_oos,10,tox20,100.0,300.0,12,245,1397.7116612147133,1200.0,197.71166121471327,0.14145382534970583,2.288338785286726,0.3388558306073566,1.9494829546793693,13.947676110716042,199.50279613820103
gala_oos,10,tox40,25.0,100.0,17,280,499.26554330565614,425.0,74.26554330565611,0.14874958687102885,0.7344566943438906,0.12213277165282807,0.6123239226910625,12.264493933165156,74.95638290198332
gala_oos,10,tox40,25.0,300.0,21,318,698.9056987916503,525.0,173.90569879165028,0.24882569864907203,1.0943012083497194,0.19195284939582516,0.9023483589538943,12.910874249759008,174.54445164080474
gala_oos,10,tox40,100.0,100.0,11,212,1198.501323813421,1100.0,98.50132381342107,0.08218707969383557,1.4986761865789475,0.2692506619067105,1.229425524672237,10.258023919076038,101.83076448095947
gala_oos,10,tox40,100.0,300.0,12,265,1397.7116612147133,1200.0,197.71166121471327,0.14145382534970583,2.288338785286726,0.3388558306073566,1.9494829546793693,13.947676110716042,199.50279613820103
gala_oos,240,symmetric,25.0,100.0,39,352,999.7481576987632,975.0,24.748157698763166,0.024754391901785428,0.2518423012368487,0.20737407884938167,0.04446822238746703,0.4447942418801223,74.99181079882833
gala_oos,240,symmetric,25.0,300.0,40,382,1049.6760076266132,1000.0000000000001,49.676007626613114,0.04732508627965485,0.32399237338690057,0.22483800381330665,0.09915436957359391,0.9446188047851879,99.92870490616454
gala_oos,240,symmetric,100.0,100.0,25,276,2598.4247287018375,2500.0,98.42472870183738,0.037878614536973707,1.5752712981626757,0.5492123643509189,1.0260589338117567,3.9487729718627316,101.69019955552662
gala_oos,240,symmetric,100.0,300.0,33,354,3399.3541648294795,3300.0,99.35416482947947,0.02922736496756387,0.6458351705205843,0.70967708241474,-0.06384191189415578,-0.18780600313635826,201.08180101482267
gala_oos,240,tox20,25.0,100.0,19,267,549.4972821398836,474.99999999999994,74.49728213988367,0.13557352249272664,0.5027178601163342,0.13224864106994186,0.3704692190463924,6.741966358845127,75.06379466016003
gala_oos,240,tox20,25.0,300.0,22,323,699.4251320677336,550.0,149.4251320677336,0.21363992401300075,0.5748679322663861,0.18471256603386685,0.39015536623251923,5.57822915340617,149.4791932587856
gala_oos,240,tox20,100.0,100.0,13,217,1399.2849095285465,1300.0,99.28490952854654,0.07095403434458396,0.7150904714534789,0.3096424547642732,0.4054480166892057,2.897537262985357,100.89851469658468
gala_oos,240,tox20,100.0,300.0,16,277,1798.4230448392173,1600.0,198.42304483921723,0.11033168497735563,1.5769551607827736,0.41921152241960863,1.157743638363165,6.437548949817141,199.86057830470494
gala_oos,240,tox40,25.0,100.0,21,292,599.1935955115467,525.0,74.19359551154672,0.12382241076559866,0.8064044884532962,0.14209679775577339,0.6643076906975227,11.086695446575767,74.93857051606697
gala_oos,240,tox40,25.0,300.0,25,338,798.8876961136984,625.0,173.8876961136985,0.21766225335500802,1.112303886301504,0.2119438480568493,0.9003600382446547,11.270170295832353,174.2660625391318
gala_oos,240,tox40,100.0,100.0,13,222,1398.7118534280337,1300.0,98.71185342803365,0.07057340165246019,1.2881465719663652,0.3093559267140168,0.9787906452523484,6.997800460856029,101.47426606819259
gala_oos,240,tox40,100.0,300.0,16,285,1797.4244976562113,1600.0,197.42449765621132,0.10983743568291578,2.5755023437887132,0.41871224882810565,2.1567900949606074,11.999336260148887,199.43154659453555
op_v9,10,symmetric,25.0,100.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,symmetric,25.0,300.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,symmetric,100.0,100.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,symmetric,100.0,300.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox20,25.0,100.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox20,25.0,300.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox20,100.0,100.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox20,100.0,300.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox40,25.0,100.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox40,25.0,300.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox40,100.0,100.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,10,tox40,100.0,300.0,0,82,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,symmetric,25.0,100.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,symmetric,25.0,300.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,symmetric,100.0,100.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,symmetric,100.0,300.0,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox20,25.0,100.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox20,25.0,300.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox20,100.0,100.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox20,100.0,300.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox40,25.0,100.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox40,25.0,300.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox40,100.0,100.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
op_v9,240,tox40,100.0,300.0,0,84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,symmetric,25.0,100.0,2,27,100.00002805483486,50.0,50.00002805483486,0.500000140274135,-2.805483485701643e-05,0.03500001402741743,-0.03502806886227445,-3.502805903521033,50.01875465710258
