lat_ms,profile,order_usd,cap_usd,captures_with_volume,total_volume_usd,total_pnl_usd,net_bp_per_volume,worst_capture_bp,maker_fills,liquidation_share
10,symmetric,100.0,100.0,3,3997.775435636384,1.7540163749175979,4.387480995761298,-7.24728362682673,37,0.07448528323577112
240,tox40,100.0,300.0,2,2398.4632915747675,0.9674767794453194,4.033736029414483,-19.787629809407047,21,0.12443938275945188
10,symmetric,100.0,300.0,3,5399.729816404374,2.143893089770743,3.9703710420058385,-7.24728362682673,51,0.055508298858545635
240,symmetric,100.0,100.0,3,3999.400055544298,1.5109730753701465,3.7779993358641657,-7.24728362682673,37,0.0748612420328507
10,tox20,100.0,100.0,2,1798.9830780865395,0.5974303744171094,3.320933819191657,-10.524801890444712,16,0.11060864357778447
10,tox40,100.0,100.0,2,1798.9830780865395,0.5974303744171094,3.320933819191657,-10.524801890444712,16,0.11060864357778447
240,tox40,25.0,300.0,3,1049.4390268460734,0.2762536405035491,2.6323934353174065,-31.177553664929867,32,0.23768796515574975
10,tox20,100.0,300.0,2,2199.156276560734,0.2841453009854058,1.2920650706541934,-20.77919823536352,18,0.18150427998913096
10,tox40,100.0,300.0,2,2199.156276560734,0.2841453009854058,1.2920650706541934,-20.77919823536352,18,0.18150427998913096
240,tox20,25.0,300.0,3,899.6661179725223,0.09404896849142381,1.045376352544781,-19.787629809407047,28,0.22193357511616388
240,tox20,25.0,100.0,3,749.7382680446724,0.07436282130529699,0.9918504160023237,-19.787629809407047,25,0.1663757518607013
240,symmetric,100.0,300.0,3,5000.403274168236,0.48481783471122314,0.969557469925998,-7.24728362682673,48,0.040077422395810754
240,tox40,25.0,100.0,3,849.7449262439217,0.040201292956417126,0.47309835828166197,-31.177553664929867,28,0.1762233837697984
10,tox40,25.0,300.0,2,999.6975973704733,0.020053830841388676,0.20059897006991623,-29.33239001054075,29,0.27478069177420905
240,tox20,100.0,300.0,2,2399.4618387577734,-0.031569677152123,-0.13156982387545263,-19.787629809407047,21,0.1248037513748532
10,symmetric,25.0,100.0,3,1699.7203245371481,-0.09768469941678337,-0.5747104273956596,-4.763923889560744,63,0.07337696839691017
240,symmetric,25.0,100.0,3,1449.8151273384492,-0.1275349021182746,-0.8796632047314985,-3.9128246450048314,55,0.05160321887094229
10,tox20,25.0,100.0,2,699.8865601346502,-0.06400341471742177,-0.9144826942398815,-33.71168923866907,23,0.17843828878586174
10,tox40,25.0,100.0,2,699.8865601346502,-0.06400341471742177,-0.9144826942398815,-33.71168923866907,23,0.17843828878586174
240,tox40,100.0,100.0,2,1999.7506473465896,-0.21052267026293958,-1.0527446036448391,-19.787629809407047,18,0.09988777731445314
10,tox20,25.0,300.0,2,999.8228629480002,-0.1052743794742782,-1.0529303077134515,-29.33239001054075,29,0.2748715528845569
10,symmetric,25.0,300.0,3,2100.1238578335074,-0.6414197624242971,-3.0541996846128265,-13.406038666282445,71,0.15481175389765156
240,tox20,100.0,100.0,2,2000.3237034471026,-0.7838652988260822,-3.918692247036161,-19.787629809407047,18,0.10014564297862903
240,symmetric,25.0,300.0,3,1701.176812643486,-1.5774010498075748,-9.272410945670167,-29.76473323503382,60,0.11825743870260844
