capture,lat_ms,profile,order_usd,cap_usd,ts,side,px,notional,fee,flow_entry,spread_entry_bp,inventory_after_qty
gala_v6,10,symmetric,25.0,100.0,1787022616500,sell,0.001456,25.0,0.005,-0.1025780367185161,6.870491240124581,-17170.32967032967
gala_v6,10,symmetric,25.0,100.0,1787022618750,sell,0.001456,25.0,0.005,0.6242288707079293,6.870491240124581,-34340.65934065934
gala_v6,10,symmetric,25.0,100.0,1787022624000,buy,0.001453,25.0,0.005,-0.49541993751543856,6.8799449604397385,-17134.87819819547
gala_v6,10,symmetric,25.0,100.0,1787022624000,sell,0.001454,25.0,0.005,-0.49541993751543856,6.8799449604397385,-34328.82592859437
gala_v6,10,symmetric,25.0,100.0,1787022631000,buy,0.001447,25.0,0.005,-0.3098124291203789,6.908462867013006,-17051.700842208746
gala_v6,10,symmetric,25.0,100.0,1787022632250,sell,0.001448,24.999999999999996,0.004999999999999999,-0.3098124291203789,6.908462867013006,-34316.89421237449
gala_v6,10,symmetric,25.0,100.0,1787022635500,sell,0.001448,24.999999999999996,0.004999999999999999,0.23684467966464803,6.908462867013006,-51582.08758254023
gala_v6,10,symmetric,25.0,100.0,1787022659750,buy,0.001448,24.999999999999996,0.004999999999999999,-0.9844847111852127,6.903693476009083,-34316.89421237449
gala_v6,10,symmetric,25.0,100.0,1787022665250,buy,0.001451,25.0,0.005,0.9912942030163516,6.889424733034212,-17087.397313683934
gala_v6,10,symmetric,25.0,100.0,1787022666250,buy,0.001451,25.0,0.005,-0.8202085868865167,6.889424733034212,142.0995850066247
gala_v6,10,symmetric,25.0,100.0,1787022666250,sell,0.001452,25.0,0.005,0.9912942030163516,6.889424733034212,-17075.531268987866
gala_v6,10,symmetric,25.0,100.0,1787022668000,buy,0.001451,25.0,0.005,-0.6931821137866859,6.889424733034212,153.96562970269224
gala_v6,10,symmetric,25.0,100.0,1787022668750,sell,0.001452,25.0,0.005,-0.6931821137866859,6.889424733034212,-17063.6652242918
gala_v6,10,symmetric,25.0,100.0,1787022684000,buy,0.00146,24.999999999999996,0.004999999999999999,0.8421054852952848,6.846970215680472,59.622446941077214
gala_v6,10,symmetric,25.0,100.0,1787022685500,sell,0.001461,25.0,0.005,0.8421054852952848,6.846970215680472,-17051.944972634556
gala_v6,10,symmetric,25.0,100.0,1787022699250,sell,0.001463,25.0,0.005,0.9415360286904535,6.837606837607745,-34140.11995554638
gala_v6,10,symmetric,25.0,100.0,1787022706250,sell,0.001463,25.0,0.005,-0.9999999999999996,6.837606837607745,-51228.2949384582
gala_v6,10,symmetric,25.0,100.0,1787022711750,buy,0.001463,25.0,0.005,0.09715224691948735,6.832934745472606,-34140.11995554638
gala_v6,10,symmetric,25.0,100.0,1787022713750,sell,0.001463,25.0,0.005,-0.5478170373764116,6.837606837607745,-51228.2949384582
gala_v6,10,symmetric,25.0,100.0,1787022751250,buy,0.001467,25.0,0.005,0.9449525449521878,6.814310051106752,-34186.713479698825
gala_v6,10,symmetric,25.0,100.0,1787022781750,buy,0.001467,25.0,0.005,-0.8116620489320422,6.814310051106752,-17145.13202093945
gala_v6,10,symmetric,25.0,100.0,1787022782000,buy,0.001467,25.0,0.005,-0.8656350162119946,6.814310051106752,-103.55056218007667
gala_v6,10,symmetric,25.0,300.0,1787022616500,sell,0.001456,25.0,0.005,-0.1025780367185161,6.870491240124581,-17170.32967032967
gala_v6,10,symmetric,25.0,300.0,1787022618750,sell,0.001456,25.0,0.005,0.6242288707079293,6.870491240124581,-34340.65934065934
gala_v6,10,symmetric,25.0,300.0,1787022624000,buy,0.001453,25.0,0.005,-0.49541993751543856,6.8799449604397385,-17134.87819819547
gala_v6,10,symmetric,25.0,300.0,1787022624000,sell,0.001454,25.0,0.005,-0.49541993751543856,6.8799449604397385,-34328.82592859437
gala_v6,10,symmetric,25.0,300.0,1787022631000,buy,0.001447,25.0,0.005,-0.3098124291203789,6.908462867013006,-17051.700842208746
gala_v6,10,symmetric,25.0,300.0,1787022632250,sell,0.001448,24.999999999999996,0.004999999999999999,-0.3098124291203789,6.908462867013006,-34316.89421237449
gala_v6,10,symmetric,25.0,300.0,1787022635500,sell,0.001448,24.999999999999996,0.004999999999999999,0.23684467966464803,6.908462867013006,-51582.08758254023
gala_v6,10,symmetric,25.0,300.0,1787022637750,sell,0.001449,25.0,0.005,0.9968795408732797,6.903693476009083,-68835.36570538358
gala_v6,10,symmetric,25.0,300.0,1787022652000,sell,0.001446,25.0,0.005,0.26519304268825916,6.918021445865899,-86124.43901105439
gala_v6,10,symmetric,25.0,300.0,1787022659750,buy,0.001448,24.999999999999996,0.004999999999999999,-0.9844847111852127,6.903693476009083,-68859.24564088865
gala_v6,10,symmetric,25.0,300.0,1787022665250,buy,0.001451,25.0,0.005,0.9912942030163516,6.889424733034212,-51629.74874219809
gala_v6,10,symmetric,25.0,300.0,1787022666250,buy,0.001451,25.0,0.005,-0.8202085868865167,6.889424733034212,-34400.25184350753
gala_v6,10,symmetric,25.0,300.0,1787022666250,sell,0.001452,25.0,0.005,0.9912942030163516,6.889424733034212,-51617.88269750202
gala_v6,10,symmetric,25.0,300.0,1787022668000,buy,0.001451,25.0,0.005,-0.6931821137866859,6.889424733034212,-34388.38579881146
gala_v6,10,symmetric,25.0,300.0,1787022668750,sell,0.001452,25.0,0.005,-0.6931821137866859,6.889424733034212,-51606.01665280595
gala_v6,10,symmetric,25.0,300.0,1787022684000,buy,0.00146,24.999999999999996,0.004999999999999999,0.8421054852952848,6.846970215680472,-34482.72898157308
gala_v6,10,symmetric,25.0,300.0,1787022685500,sell,0.001461,25.0,0.005,0.8421054852952848,6.846970215680472,-51594.296401148706
gala_v6,10,symmetric,25.0,300.0,1787022699250,sell,0.001463,25.0,0.005,0.9415360286904535,6.837606837607745,-68682.47138406053
gala_v6,10,symmetric,25.0,300.0,1787022706250,sell,0.001463,25.0,0.005,-0.9999999999999996,6.837606837607745,-85770.64636697235
gala_v6,10,symmetric,25.0,300.0,1787022711750,buy,0.001463,25.0,0.005,0.09715224691948735,6.832934745472606,-68682.47138406053
gala_v6,10,symmetric,25.0,300.0,1787022713750,sell,0.001463,25.0,0.005,-0.5478170373764116,6.837606837607745,-85770.64636697235
gala_v6,10,symmetric,25.0,300.0,1787022751250,buy,0.001467,25.0,0.005,0.9449525449521878,6.814310051106752,-68729.06490821297
gala_v6,10,symmetric,25.0,300.0,1787022763750,sell,0.001469,25.0,0.005,0.17144430584460557,6.809669731018949,-85747.44475845122
gala_v6,10,symmetric,25.0,300.0,1787022764250,sell,0.001469,25.0,0.005,0.7077811265388678,6.809669731018949,-102765.82460868948
gala_v6,10,symmetric,25.0,300.0,1787022781750,buy,0.001467,25.0,0.005,-0.8116620489320422,6.814310051106752,-85724.2431499301
gala_v6,10,symmetric,25.0,300.0,1787022782000,buy,0.001467,25.0,0.005,-0.8656350162119946,6.814310051106752,-68682.66169117072
gala_v6,10,symmetric,100.0,100.0,1787022616500,sell,0.001456,100.0,0.02,-0.1025780367185161,6.870491240124581,-68681.31868131868
gala_v6,10,symmetric,100.0,100.0,1787022624000,buy,0.001453,100.0,0.02,-0.49541993751543856,6.8799449604397385,141.80588853679365
gala_v6,10,symmetric,100.0,100.0,1787022635500,sell,0.001448,99.99999999999999,0.019999999999999997,0.23684467966464803,6.908462867013006,-68918.96759212618
gala_v6,10,symmetric,100.0,100.0,1787022659750,buy,0.001448,99.99999999999999,0.019999999999999997,-0.9844847111852127,6.903693476009083,141.80588853679365
gala_v6,10,symmetric,100.0,100.0,1787022665250,buy,0.001451,100.0,0.02,0.9912942030163516,6.889424733034212,69059.79348329903
gala_v6,10,symmetric,100.0,100.0,1787022667250,sell,0.001452,100.0,0.02,0.9912942030163516,6.889424733034212,189.27006732106383
gala_v6,10,symmetric,100.0,100.0,1787022684000,buy,0.00146,99.99999999999999,0.019999999999999997,0.8421054852952848,6.846970215680472,68682.42075225257
gala_v6,10,symmetric,100.0,100.0,1787022685500,sell,0.001461,100.0,0.02,0.8421054852952848,6.846970215680472,236.15107395003724
gala_v6,10,symmetric,100.0,100.0,1787022699250,sell,0.001463,100.0,0.02,0.9415360286904535,6.837606837607745,-68116.54885769726
gala_v6,10,symmetric,100.0,100.0,1787022711750,buy,0.001463,100.0,0.02,0.09715224691948735,6.832934745472606,236.15107395003724
gala_v6,10,symmetric,100.0,100.0,1787022713750,sell,0.001463,100.0,0.02,-0.5478170373764116,6.837606837607745,-68116.54885769726
gala_v6,10,symmetric,100.0,100.0,1787022751250,buy,0.001467,100.0,0.02,0.9449525449521878,6.814310051106752,49.77697734023968
gala_v6,10,symmetric,100.0,100.0,1787022763750,sell,0.001469,100.0,0.02,0.17144430584460557,6.809669731018949,-68023.74242361278
gala_v6,10,symmetric,100.0,100.0,1787022781750,buy,0.001467,100.0,0.02,-0.8116620489320422,6.814310051106752,142.5834114247118
gala_v6,10,symmetric,100.0,100.0,1787022782000,buy,0.001467,100.0,0.02,-0.8656350162119946,6.814310051106752,68308.90924646221
gala_v6,10,symmetric,100.0,300.0,1787022616500,sell,0.001456,100.0,0.02,-0.1025780367185161,6.870491240124581,-68681.31868131868
gala_v6,10,symmetric,100.0,300.0,1787022618750,sell,0.001456,100.0,0.02,0.6242288707079293,6.870491240124581,-137362.63736263735
gala_v6,10,symmetric,100.0,300.0,1787022624000,buy,0.001453,100.0,0.02,-0.49541993751543856,6.8799449604397385,-68539.51279278188
gala_v6,10,symmetric,100.0,300.0,1787022635500,sell,0.001448,99.99999999999999,0.019999999999999997,0.23684467966464803,6.908462867013006,-137600.28627344486
gala_v6,10,symmetric,100.0,300.0,1787022659750,buy,0.001448,99.99999999999999,0.019999999999999997,-0.9844847111852127,6.903693476009083,-68539.51279278188
gala_v6,10,symmetric,100.0,300.0,1787022665250,buy,0.001451,100.0,0.02,0.9912942030163516,6.889424733034212,378.4748019803519
gala_v6,10,symmetric,100.0,300.0,1787022666250,buy,0.001451,100.0,0.02,-0.8202085868865167,6.889424733034212,69296.46239674259
gala_v6,10,symmetric,100.0,300.0,1787022667250,sell,0.001452,100.0,0.02,0.9912942030163516,6.889424733034212,425.9389807646221
gala_v6,10,symmetric,100.0,300.0,1787022668000,buy,0.001451,100.0,0.02,-0.6931821137866859,6.889424733034212,69343.92657552686
gala_v6,10,symmetric,100.0,300.0,1787022684000,buy,0.00146,99.99999999999999,0.019999999999999997,0.8421054852952848,6.846970215680472,137837.07726045838
gala_v6,10,symmetric,100.0,300.0,1787022685500,sell,0.001461,100.0,0.02,0.8421054852952848,6.846970215680472,69390.80758215585
gala_v6,10,symmetric,100.0,300.0,1787022699250,sell,0.001463,100.0,0.02,0.9415360286904535,6.837606837607745,1038.1076505085512
gala_v6,10,symmetric,100.0,300.0,1787022706250,sell,0.001463,100.0,0.02,-0.9999999999999996,6.837606837607745,-67314.59228113874
gala_v6,10,symmetric,100.0,300.0,1787022711750,buy,0.001463,100.0,0.02,0.09715224691948735,6.832934745472606,1038.1076505085512
gala_v6,10,symmetric,100.0,300.0,1787022713750,sell,0.001463,100.0,0.02,-0.5478170373764116,6.837606837607745,-67314.59228113874
gala_v6,10,symmetric,100.0,300.0,1787022751250,buy,0.001467,100.0,0.02,0.9449525449521878,6.814310051106752,851.7335538987536
gala_v6,10,symmetric,100.0,300.0,1787022763750,sell,0.001469,100.0,0.02,0.17144430584460557,6.809669731018949,-67221.78584705427
gala_v6,10,symmetric,100.0,300.0,1787022764250,sell,0.001469,100.0,0.02,0.7077811265388678,6.809669731018949,-135295.3052480073
gala_v6,10,symmetric,100.0,300.0,1787022781750,buy,0.001467,100.0,0.02,-0.8116620489320422,6.814310051106752,-67128.9794129698
gala_v6,10,symmetric,100.0,300.0,1787022782000,buy,0.001467,100.0,0.02,-0.8656350162119946,6.814310051106752,1037.3464220676979
gala_v6,10,tox20,25.0,100.0,1787022616500,sell,0.001456,25.0,0.005,-0.1025780367185161,6.870491240124581,-17170.32967032967
gala_v6,10,tox20,25.0,100.0,1787022624000,sell,0.001454,25.0,0.005,-0.49541993751543856,6.8799449604397385,-34364.27740072857
gala_v6,10,tox20,25.0,100.0,1787022635500,sell,0.001448,24.999999999999996,0.004999999999999999,-0.9999999999999986,6.908462867013006,-51629.47077089432
gala_v6,10,tox20,25.0,100.0,1787022684000,buy,0.00146,24.999999999999996,0.004999999999999999,0.8421054852952848,6.846970215680472,-34506.183099661444
gala_v6,10,tox20,25.0,100.0,1787022751250,buy,0.001467,25.0,0.005,0.9449525449521878,6.814310051106752,-17464.60164090207
gala_v6,10,tox20,25.0,100.0,1787022763750,sell,0.001469,25.0,0.005,0.17144430584460557,6.809669731018949,-34482.98149114032
gala_v6,10,tox20,25.0,300.0,1787022616500,sell,0.001456,25.0,0.005,-0.1025780367185161,6.870491240124581,-17170.32967032967
gala_v6,10,tox20,25.0,300.0,1787022624000,sell,0.001454,25.0,0.005,-0.49541993751543856,6.8799449604397385,-34364.27740072857
gala_v6,10,tox20,25.0,300.0,1787022635500,sell,0.001448,24.999999999999996,0.004999999999999999,-0.9999999999999986,6.908462867013006,-51629.47077089432
gala_v6,10,tox20,25.0,300.0,1787022684000,buy,0.00146,24.999999999999996,0.004999999999999999,0.8421054852952848,6.846970215680472,-34506.183099661444
gala_v6,10,tox20,25.0,300.0,1787022706250,sell,0.001463,25.0,0.005,-0.9999999999999996,6.837606837607745,-51594.358082573264
gala_v6,10,tox20,25.0,300.0,1787022713750,sell,0.001463,25.0,0.005,-0.5478170373764116,6.837606837607745,-68682.53306548508
gala_v6,10,tox20,25.0,300.0,1787022751250,buy,0.001467,25.0,0.005,0.9449525449521878,6.814310051106752,-51640.95160672571
gala_v6,10,tox20,25.0,300.0,1787022763750,sell,0.001469,25.0,0.005,0.17144430584460557,6.809669731018949,-68659.33145696396
gala_v6,10,tox20,100.0,100.0,1787022616500,sell,0.001456,100.0,0.02,-0.1025780367185161,6.870491240124581,-68681.31868131868
gala_v6,10,tox20,100.0,100.0,1787022684000,buy,0.00146,99.99999999999999,0.019999999999999997,0.8421054852952848,6.846970215680472,-188.16799638717202
gala_v6,10,tox20,100.0,100.0,1787022706250,sell,0.001463,100.0,0.02,-0.9999999999999996,6.837606837607745,-68540.86792803447
gala_v6,10,tox20,100.0,100.0,1787022751250,buy,0.001467,100.0,0.02,0.9449525449521878,6.814310051106752,-374.5420929969696
gala_v6,10,tox20,100.0,100.0,1787022763750,sell,0.001469,100.0,0.02,0.17144430584460557,6.809669731018949,-68448.06149395
gala_v6,10,tox20,100.0,300.0,1787022616500,sell,0.001456,100.0,0.02,-0.1025780367185161,6.870491240124581,-68681.31868131868
gala_v6,10,tox20,100.0,300.0,1787022624000,sell,0.001454,100.0,0.02,-0.49541993751543856,6.8799449604397385,-137457.10960291428
gala_v6,10,tox20,100.0,300.0,1787022684000,buy,0.00146,99.99999999999999,0.019999999999999997,0.8421054852952848,6.846970215680472,-68963.95891798277
gala_v6,10,tox20,100.0,300.0,1787022706250,sell,0.001463,100.0,0.02,-0.9999999999999996,6.837606837607745,-137316.65884963007
gala_v6,10,tox20,100.0,300.0,1787022751250,buy,0.001467,100.0,0.02,0.9449525449521878,6.814310051106752,-69150.33301459257
gala_v6,10,tox20,100.0,300.0,1787022763750,sell,0.001469,100.0,0.02,0.17144430584460557,6.809669731018949,-137223.8524155456
gala_v6,10,tox40,25.0,100.0,1787022616500,sell,0.001456,25.0,0.005,-0.1025780367185161,6.870491240124581,-17170.32967032967
gala_v6,10,tox40,25.0,100.0,1787022624000,sell,0.001454,25.0,0.005,-0.49541993751543856,6.8799449604397385,-34364.27740072857
gala_v6,10,tox40,25.0,100.0,1787022635500,sell,0.001448,24.999999999999996,0.004999999999999999,0.23684467966464803,6.908462867013006,-51629.47077089432
gala_v6,10,tox40,25.0,100.0,1787022684000,buy,0.00146,24.999999999999996,0.004999999999999999,0.8421054852952848,6.846970215680472,-34506.183099661444
gala_v6,10,tox40,25.0,100.0,1787022751250,buy,0.001467,25.0,0.005,0.9449525449521878,6.814310051106752,-17464.60164090207
