symbol,lat_ms,profile,side,signal_ts,fill_ts,entry_px,spread_bp,flow5,mark1_bp,mark5_bp,mark15_bp,value1_bp,value5_bp,value15_bp
FETUSDT,10,all,sell,1787023375750,1787023376320,0.1201,8.329862557268044,0.6079683924516326,-4.163197335554402,-4.163197335554402,-4.163197335554402,-6.163197335554402,-6.163197335554402,-6.163197335554402
FETUSDT,10,protected,sell,1787023376250,1787023376320,0.1201,8.329862557268044,-0.435560017944477,-4.163197335554402,-4.163197335554402,-4.163197335554402,-6.163197335554402,-6.163197335554402,-6.163197335554402
FETUSDT,240,all,sell,1787023375750,1787023376320,0.1201,8.329862557268044,0.6079683924516326,-4.163197335554402,-4.163197335554402,-4.163197335554402,-6.163197335554402,-6.163197335554402,-6.163197335554402
OPUSDT,10,all,buy,1787023292500,1787023293359,0.0809,12.3533045089565,-0.9999999999999897,-6.180469715697713,-6.180469715697713,6.180469715697713,-8.180469715697713,-8.180469715697713,4.180469715697713
OPUSDT,240,all,buy,1787023292500,1787023293359,0.0809,12.3533045089565,-0.9999999999999897,-6.180469715697713,-6.180469715697713,6.180469715697713,-8.180469715697713,-8.180469715697713,4.180469715697713
OPUSDT,240,protected,buy,1787023312250,1787023315008,0.0809,12.3533045089565,0.8945122551663013,-6.180469715697713,-6.180469715697713,-6.180469715697713,-8.180469715697713,-8.180469715697713,-8.180469715697713
IMXUSDT,10,all,sell,1787023296500,1787023296647,0.1002,9.985022466300837,0.0,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,10,all,sell,1787023307750,1787023309289,0.1002,9.985022466300837,-0.3129001913592363,4.990019960080676,4.990019960080676,4.990019960080676,2.9900199600806756,2.9900199600806756,2.9900199600806756
IMXUSDT,10,all,buy,1787023308500,1787023310341,0.1001,9.985022466300837,-0.3220029234481648,4.995004995004446,4.995004995004446,4.995004995004446,2.9950049950044457,2.9950049950044457,2.9950049950044457
IMXUSDT,10,all,buy,1787023363500,1787023364727,0.1002,9.975062344139936,0.9999999999999997,-4.990019960080676,-4.990019960080676,-4.990019960080676,-6.990019960080676,-6.990019960080676,-6.990019960080676
IMXUSDT,10,all,sell,1787023386500,1787023387277,0.1003,9.975062344139936,0.9999999999999819,-4.98504486540324,4.98504486540324,4.98504486540324,-6.98504486540324,2.98504486540324,2.98504486540324
IMXUSDT,10,all,buy,1787023387750,1787023389990,0.1003,9.965122072745677,0.9536312052986035,-4.98504486540324,-4.98504486540324,-4.98504486540324,-6.98504486540324,-6.98504486540324,-6.98504486540324
IMXUSDT,10,protected,sell,1787023294750,1787023296647,0.1002,9.985022466300837,-0.9999999999998811,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,10,protected,sell,1787023307750,1787023309289,0.1002,9.985022466300837,-0.3129001913592363,4.990019960080676,4.990019960080676,4.990019960080676,2.9900199600806756,2.9900199600806756,2.9900199600806756
IMXUSDT,10,protected,buy,1787023363750,1787023364727,0.1002,9.975062344139936,0.9999999999999996,-4.990019960080676,-4.990019960080676,-4.990019960080676,-6.990019960080676,-6.990019960080676,-6.990019960080676
IMXUSDT,10,protected,buy,1787023387750,1787023389990,0.1003,9.965122072745677,0.9536312052986035,-4.98504486540324,-4.98504486540324,-4.98504486540324,-6.98504486540324,-6.98504486540324,-6.98504486540324
IMXUSDT,10,neutral,sell,1787023296000,1787023296647,0.1002,9.985022466300837,0.0,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,240,all,sell,1787023293500,1787023296647,0.1002,9.985022466300837,0.867212446819592,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,240,all,buy,1787023308500,1787023310341,0.1001,9.985022466300837,-0.3220029234481648,4.995004995004446,4.995004995004446,4.995004995004446,2.9950049950044457,2.9950049950044457,2.9950049950044457
IMXUSDT,240,all,buy,1787023363500,1787023364727,0.1002,9.975062344139936,0.9999999999999997,-4.990019960080676,-4.990019960080676,-4.990019960080676,-6.990019960080676,-6.990019960080676,-6.990019960080676
IMXUSDT,240,all,sell,1787023385750,1787023387277,0.1003,9.975062344139936,0.9999999999998338,-4.98504486540324,4.98504486540324,4.98504486540324,-6.98504486540324,2.98504486540324,2.98504486540324
IMXUSDT,240,all,buy,1787023387750,1787023389990,0.1003,9.965122072745677,0.9536312052986035,-4.98504486540324,-4.98504486540324,-4.98504486540324,-6.98504486540324,-6.98504486540324,-6.98504486540324
IMXUSDT,240,protected,sell,1787023294750,1787023296647,0.1002,9.985022466300837,-0.9999999999998811,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,240,protected,sell,1787023357250,1787023360439,0.1001,9.995002498749523,0.0,-14.985014985016107,-4.995004995004446,-4.995004995004446,-16.985014985016107,-6.995004995004446,-6.995004995004446
IMXUSDT,240,protected,buy,1787023363750,1787023364727,0.1002,9.975062344139936,0.9999999999999996,-4.990019960080676,-4.990019960080676,-4.990019960080676,-6.990019960080676,-6.990019960080676,-6.990019960080676
IMXUSDT,240,protected,buy,1787023387750,1787023389990,0.1003,9.965122072745677,0.9536312052986035,-4.98504486540324,-4.98504486540324,-4.98504486540324,-6.98504486540324,-6.98504486540324,-6.98504486540324
IMXUSDT,240,neutral,sell,1787023296000,1787023296647,0.1002,9.985022466300837,0.0,-4.990019960080676,-4.990019960080676,4.990019960080676,-6.990019960080676,-6.990019960080676,2.9900199600806756
IMXUSDT,240,neutral,sell,1787023357250,1787023360439,0.1001,9.995002498749523,0.0,-14.985014985016107,-4.995004995004446,-4.995004995004446,-16.985014985016107,-6.995004995004446,-6.995004995004446
GALAUSDT,10,all,sell,1787023283000,1787023283245,0.001429,7.000350017500286,0.8763235209418431,-45.48635409377336,-38.48845346396137,-52.48425472358231,-47.48635409377336,-40.48845346396137,-54.48425472358231
GALAUSDT,10,all,buy,1787023286000,1787023287087,0.001436,6.961364427427191,0.45757492661268034,-10.44568245125336,3.4818941504167795,-3.4818941504167795,-12.44568245125336,1.4818941504167795,-5.48189415041678
GALAUSDT,10,all,sell,1787023288250,1787023290845,0.001435,6.9710700592550205,0.16157710826244256,-10.452961672472233,-3.4843205574917517,-3.4843205574917517,-12.452961672472233,-5.484320557491752,-5.484320557491752
GALAUSDT,10,all,sell,1787023305000,1787023307041,0.001436,6.9662138627650005,-0.4181312113648429,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,10,all,buy,1787023307250,1787023308495,0.001437,6.956521739131358,0.7656976769360012,-3.479471120390163,-3.479471120390163,3.479471120390163,-5.479471120390163,-5.479471120390163,1.479471120390163
GALAUSDT,10,all,buy,1787023316500,1787023319034,0.001436,6.961364427427191,-0.9037504220583177,-3.4818941504167795,10.44568245125336,10.44568245125336,-5.48189415041678,8.44568245125336,8.44568245125336
GALAUSDT,10,all,buy,1787023330250,1787023332696,0.001437,6.956521739131358,-0.937615155889248,3.479471120390163,3.479471120390163,-17.397355601947794,1.479471120390163,1.479471120390163,-19.397355601947794
GALAUSDT,10,all,buy,1787023337750,1787023340296,0.001437,6.956521739131358,-0.9033716183013172,-17.397355601947794,-17.397355601947794,-3.479471120390163,-19.397355601947794,-19.397355601947794,-5.479471120390163
GALAUSDT,10,all,sell,1787023348250,1787023350875,0.001436,6.9662138627650005,0.5592347936041754,-10.44568245125336,-3.4818941504167795,-10.44568245125336,-12.44568245125336,-5.48189415041678,-12.44568245125336
GALAUSDT,10,all,sell,1787023362000,1787023363950,0.001438,6.956521739131358,0.7253871314124614,-3.4770514603620746,3.4770514603620746,-17.385257301807357,-5.477051460362075,1.4770514603620746,-19.385257301807357
GALAUSDT,10,all,buy,1787023363500,1787023365243,0.001438,6.951685783801987,0.6557393874828686,-3.4770514603620746,3.4770514603620746,17.385257301807357,-5.477051460362075,1.4770514603620746,15.385257301807357
GALAUSDT,10,all,sell,1787023369000,1787023371421,0.001438,6.956521739131358,-0.940563981501075,-10.431154381084717,-10.431154381084717,-3.4770514603620746,-12.431154381084717,-12.431154381084717,-5.477051460362075
GALAUSDT,10,all,sell,1787023376500,1787023378420,0.00144,6.946856547413218,0.3047157446790414,-3.4722222222211774,10.416666666666544,17.361111111111907,-5.472222222221177,8.416666666666544,15.361111111111907
GALAUSDT,10,all,buy,1787023379250,1787023381944,0.00144,6.942034015966095,0.47843210335511505,-3.4722222222226824,-10.416666666666544,-17.361111111111907,-5.472222222222682,-12.416666666666544,-19.361111111111907
GALAUSDT,10,all,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
GALAUSDT,10,protected,buy,1787023286000,1787023287087,0.001436,6.961364427427191,0.45757492661268034,-10.44568245125336,3.4818941504167795,-3.4818941504167795,-12.44568245125336,1.4818941504167795,-5.48189415041678
GALAUSDT,10,protected,sell,1787023288500,1787023289142,0.001436,6.9662138627650005,-0.28518343615196057,-3.4818941504167795,-3.4818941504167795,3.4818941504167795,-5.48189415041678,-5.48189415041678,1.4818941504167795
GALAUSDT,10,protected,sell,1787023304250,1787023307041,0.001436,6.9662138627650005,-0.7351364606994032,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,10,protected,buy,1787023307250,1787023308495,0.001437,6.956521739131358,0.7656976769360012,-3.479471120390163,-3.479471120390163,3.479471120390163,-5.479471120390163,-5.479471120390163,1.479471120390163
