lat_ms,side,signal_ts,fill_ts,close_ts,entry,exit,spread_signal_bp,flow_prev,flow_now,mark1_bp,mark5_bp,mark15_bp,gross_bp,fees_bp,net_bp,exit_mode
10,sell,1787023664750,1787023666301,1787023672910,0.001405,0.001401,7.119971520113322,0.8879161011189883,-0.7190402991367264,3.558718861210437,39.14590747330863,24.911032028469972,28.469750889680405,4.0,24.469750889680405,MM
10,buy,1787023674750,1787023676668,1787023691678,0.001401,0.001401,7.135212272566056,-0.9999999999999905,0.9999999999999644,-3.5688793718777045,3.5688793718777045,3.5688793718777045,0.0,7.0,-7.0,MT
10,buy,1787023694250,1787023694669,1787023709679,0.001399,0.001396,7.1454090746689225,-0.890793336261491,0.7261696136178896,-3.5739814152971148,-39.313795568263615,-17.869907076482473,-21.44388849177959,7.0,-28.44388849177959,MT
10,buy,1787023711750,1787023712530,1787023727540,0.001396,0.001391,7.160759040457685,-0.999999999999973,0.999999999999898,-10.74498567335386,3.5816618911179536,-32.23495702005848,-35.81661891117488,7.0,-42.81661891117488,MT
10,sell,1787023732750,1787023733119,1787023740374,0.001393,0.001388,7.181328545780365,0.9897621338541005,-0.8899517140923741,3.5893754486708507,61.01938262742314,-3.5893754486724077,35.89375448671941,4.0,31.89375448671941,MM
10,sell,1787023761750,1787023764566,1787023769784,0.001386,0.001383,7.217610970769633,0.976787010513221,-0.9999999999999776,-3.607503607504086,18.037518037518865,46.89754689754687,21.64502164502295,4.0,17.64502164502295,MM
10,sell,1787023781000,1787023782738,1787023797748,0.001381,0.001383,7.243752263673544,0.8874509303217913,-0.32850144011024685,-10.861694424330066,-18.10282404054959,-10.861694424330066,-14.482259232439041,7.0,-21.48225923243904,MT
10,buy,1787023805750,1787023807233,1787023822243,0.001387,0.001383,7.2072072072066025,-0.8946713581833189,0.9999999999999982,-32.444124008651386,-25.234318673396043,-25.234318673396043,-28.839221341024494,7.0,-35.8392213410245,MT
10,buy,1787023831250,1787023832374,1787023837132,0.001383,0.001381,7.228044813878806,-0.9999999999999974,0.9535477817989794,-3.615328994937452,-10.845986984815491,-10.845986984815491,-14.461315979752943,7.0,-21.461315979752943,MT
240,buy,1787023674750,1787023676668,1787023691908,0.001401,0.001401,7.135212272566056,-0.9999999999999905,0.9999999999999644,-3.5688793718777045,3.5688793718777045,3.5688793718777045,0.0,7.0,-7.0,MT
240,buy,1787023694250,1787023694732,1787023709972,0.001399,0.001396,7.1454090746689225,-0.890793336261491,0.7261696136178896,-3.5739814152971148,-39.313795568263615,-17.869907076482473,-21.44388849177959,7.0,-28.44388849177959,MT
240,buy,1787023711750,1787023712530,1787023727770,0.001396,0.001391,7.160759040457685,-0.999999999999973,0.999999999999898,-10.74498567335386,3.5816618911179536,-32.23495702005848,-35.81661891117488,7.0,-42.81661891117488,MT
240,buy,1787023731750,1787023734841,1787023744715,0.001391,0.001392,7.186489399927531,-0.9999999999999926,0.6116119925623329,-53.91804457225109,-46.728971962618346,17.97268152408266,7.189072609632753,4.0,3.1890726096327526,MM
240,buy,1787023748500,1787023750546,1787023765786,0.001393,0.001386,7.17617509867336,-0.8052939943452745,0.9999999999999449,-3.5893754486708507,-61.01938262742314,-46.661880832733516,-50.25125628140592,7.0,-57.25125628140592,MT
240,buy,1787023766250,1787023769339,1787023784579,0.001385,0.001383,7.217610970769633,-0.7700907419035415,0.9999999999999986,3.610108303249577,3.610108303249577,-10.830324909747164,-14.44043321299674,7.0,-21.44043321299674,MT
240,sell,1787023785000,1787023787608,1787023802848,0.001383,0.001385,7.233273056057258,0.8441975338249391,-0.9460109103115442,-3.6153289949390195,3.615328994937452,-10.845986984815491,-14.461315979754511,7.0,-21.46131597975451,MT
240,buy,1787023805750,1787023807366,1787023822606,0.001386,0.001383,7.2072072072066025,-0.8946713581833189,0.9999999999999982,-25.252525252525476,-18.037518037518865,-18.037518037518865,-21.64502164502295,7.0,-28.64502164502295,MT
240,buy,1787023831250,1787023832374,1787023837132,0.001383,0.001381,7.228044813878806,-0.9999999999999974,0.9535477817989794,-3.615328994937452,-10.845986984815491,-10.845986984815491,-14.461315979752943,7.0,-21.461315979752943,MT
