ts,price,qty,buyer_maker
1787023657643,0.001409,996783.0,False
1787023658039,0.001408,13672.0,True
1787023658310,0.001408,3907.0,True
1787023658380,0.001407,106648.0,True
1787023658533,0.001407,3688.0,True
1787023658535,0.001408,262437.0,False
1787023658604,0.001407,76692.0,True
1787023658649,0.001408,3919.0,False
1787023659087,0.001406,9933.0,True
1787023659356,0.001406,138612.0,True
1787023659431,0.001407,10062.0,False
1787023659578,0.001406,3409.0,True
1787023659854,0.001406,82013.0,True
1787023659927,0.001405,106648.0,True
1787023660066,0.001406,209351.0,False
1787023660093,0.001405,14007.0,True
1787023660207,0.001405,2112802.0,True
1787023660209,0.001404,419853.0,True
1787023660211,0.001404,539611.0,False
1787023660278,0.001403,114469.0,True
1787023660305,0.001403,331742.0,False
1787023660311,0.001403,275082.0,True
1787023660409,0.001403,305151.0,False
1787023660415,0.001403,14280.0,True
1787023660415,0.001402,95758.0,True
1787023660441,0.001404,182652.0,False
1787023660455,0.001405,192080.0,False
1787023660575,0.001405,146305.0,False
1787023660583,0.001404,281450.0,True
1787023660583,0.001405,239274.0,False
1787023660739,0.001405,320866.0,True
1787023660782,0.001404,1567551.0,True
1787023660785,0.001403,25498.0,True
1787023660788,0.001404,1227173.0,False
1787023660843,0.001404,259072.0,True
1787023660862,0.001403,5150.0,True
1787023660901,0.001404,1029272.0,False
1787023660921,0.001404,106648.0,True
1787023661040,0.001405,119559.0,False
1787023661361,0.001405,208309.0,False
1787023661445,0.001406,112519.0,False
1787023661755,0.001405,264861.0,True
1787023662073,0.001406,312933.0,False
1787023662198,0.001405,488525.0,True
1787023662446,0.001404,7087.0,True
1787023662479,0.001405,149040.0,False
1787023662705,0.001404,4578.0,True
1787023663083,0.001404,813554.0,True
1787023663136,0.001405,592340.0,False
1787023663455,0.001404,14583.0,True
1787023663497,0.001405,621346.0,False
1787023663547,0.001405,6047.0,True
1787023663565,0.001406,279259.0,False
1787023663769,0.001405,3545.0,True
1787023664392,0.001405,21852.0,True
1787023664497,0.001406,250000.0,False
1787023664504,0.001405,114549.0,True
1787023664577,0.001404,106648.0,True
1787023664665,0.001405,36140.0,False
1787023664969,0.001404,3174.0,True
1787023665155,0.001405,68399.0,False
1787023665283,0.001404,106648.0,True
1787023665655,0.001404,14965.0,True
1787023665760,0.001404,37029.0,True
1787023665872,0.001405,64057.0,False
1787023666109,0.001404,53959.0,True
