capture,order_usd,duration_sec,maker_fills,quote_attempts,maker_volume_usd,liquidation_volume_usd,total_volume_usd,liquidation_share,net_pnl_usd,net_bp_per_volume,max_inventory_usd
gala_v6,100.0,178.14,5,174,500.0,99.16449124527034,599.1644912452704,0.16550461967325925,0.6859265091070239,11.448050061869191,101.20783979975917
gala_v6,250.0,178.14,5,189,1250.0,249.30382722676944,1499.3038272267695,0.16627972442910482,0.321520859617116,2.1444676774541844,251.63126925229696
gala_v6,500.0,178.14,4,233,2000.0,3.099050535866128,2003.0990505358661,0.0015471279540754984,2.6975010105981383,13.466638156892476,503.60641451313825
gala_v6,1000.0,178.14,3,208,3000.0,1005.5137318016051,4005.513731801605,0.2510324016163949,-6.616488667506021,-16.518452090114412,1006.5411640887999
gala_oos,100.0,178.352,11,289,1100.0,98.28490797169373,1198.2849079716937,0.08202131840086185,1.4459495743204263,12.066826217213636,101.83067790849655
gala_oos,250.0,178.352,5,262,1250.0,243.93383869339914,1493.9338386933991,0.16328289270610852,5.694194387254162,38.115438848579316,250.08896797153025
gala_oos,500.0,178.352,5,277,2500.0,490.37298893733583,2990.372988937336,0.1639838878800185,8.881824568195386,29.701393776137763,500.1779359430605
gala_oos,1000.0,178.352,1,213,1000.0000000000001,983.6298932384342,1983.6298932384343,0.49587369931826336,15.67829181494659,79.03839253677775,1000.355871886121
gala_fresh,100.0,178.048,2,105,200.0,0.5039612561577675,200.50396125615777,0.002513472816199985,0.46370927552968866,23.127187743551247,100.39568345323742
gala_fresh,250.0,178.048,2,139,500.0,1.0806944555064883,501.0806944555065,0.0021567273843603424,0.9801541082787351,19.560803661450343,250.26997840172785
gala_fresh,500.0,178.048,2,139,1000.0,2.1613889110129767,1002.161388911013,0.0021567273843603424,1.9603082165574701,19.560803661450343,500.5399568034557
gala_fresh,1000.0,178.048,1,120,1000.0,997.1202303815694,1997.1202303815694,0.4992790194664744,2.181209503239816,10.92177361211285,1001.0799136069114
