ts,bid,bidq,ask,askq,mid,spread_bp
1787026800099,1891.71,5.306,1891.72,131.769,1891.7150000000001,0.052862085462085484
1787026800257,1891.71,5.306,1891.72,131.781,1891.7150000000001,0.052862085462085484
1787026800434,1891.71,5.306,1891.72,127.677,1891.7150000000001,0.052862085462085484
1787026800604,1891.71,0.491,1891.72,127.677,1891.7150000000001,0.052862085462085484
1787026800647,1891.71,0.491,1891.72,128.526,1891.7150000000001,0.052862085462085484
1787026800664,1891.71,0.491,1891.72,132.63,1891.7150000000001,0.052862085462085484
1787026800775,1891.71,0.357,1891.72,132.63,1891.7150000000001,0.052862085462085484
1787026800776,1891.71,0.357,1891.72,132.844,1891.7150000000001,0.052862085462085484
1787026800798,1891.7,0.421,1891.71,4.002,1891.705,0.05286236490357062
1787026800799,1891.7,0.421,1891.71,16.048,1891.705,0.05286236490357062
1787026800800,1891.7,0.421,1891.71,160.388,1891.705,0.05286236490357062
1787026800801,1891.7,0.421,1891.71,142.427,1891.705,0.05286236490357062
1787026800802,1891.7,0.437,1891.71,145.135,1891.705,0.05286236490357062
1787026800803,1891.7,0.437,1891.71,143.684,1891.705,0.05286236490357062
1787026800833,1891.7,0.421,1891.71,143.684,1891.705,0.05286236490357062
1787026800890,1891.7,0.421,1891.71,143.724,1891.705,0.05286236490357062
1787026800900,1891.67,1.2,1891.68,93.542,1891.6750000000002,0.05286320324575259
1787026800901,1891.67,1.2,1891.68,103.107,1891.6750000000002,0.05286320324575259
1787026800902,1891.67,5.83,1891.68,158.479,1891.6750000000002,0.05286320324575259
1787026800903,1891.67,5.814,1891.68,128.961,1891.6750000000002,0.05286320324575259
1787026800904,1891.67,5.814,1891.68,128.945,1891.6750000000002,0.05286320324575259
1787026800962,1891.67,5.814,1891.68,127.831,1891.6750000000002,0.05286320324575259
1787026801048,1891.67,5.83,1891.68,127.847,1891.6750000000002,0.05286320324575259
1787026801081,1891.67,5.83,1891.68,132.659,1891.6750000000002,0.05286320324575259
1787026801098,1891.67,5.83,1891.68,133.188,1891.6750000000002,0.05286320324575259
1787026801160,1891.67,5.682,1891.68,133.188,1891.6750000000002,0.05286320324575259
