symbol,book_events,agg_trades,median_spread_bp
BTCUSDC,753,0,0.01561149849287293
ETHUSDC,1413,0,0.05286739535555123
SOLUSDC,620,0,1.324064879179757
XRPUSDC,457,0,1.0090308258916199
