ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787020105093,0.1214,104134.0,0.1215,45486.0,0.12145,8.233841086867258,0.3919796818607138
1787020105798,0.1214,104134.0,0.1215,45568.0,0.12145,8.233841086867258,0.3912172182068376
1787020106070,0.1214,106053.0,0.1215,45568.0,0.12145,8.233841086867258,0.39892231287222746
1787020106797,0.1214,106053.0,0.1215,45486.0,0.12145,8.233841086867258,0.3996792904796785
1787020107076,0.1214,106101.0,0.1215,45486.0,0.12145,8.233841086867258,0.3998693819390845
1787020107187,0.1214,90449.0,0.1215,45486.0,0.12145,8.233841086867258,0.3307683819472542
1787020107190,0.1214,106102.0,0.1215,45486.0,0.12145,8.233841086867258,0.3998733408976964
1787020107296,0.1214,106102.0,0.1215,45568.0,0.12145,8.233841086867258,0.39911650293400147
1787020108236,0.1214,106046.0,0.1215,45568.0,0.12145,8.233841086867258,0.39889456118828076
1787020108239,0.1214,106106.0,0.1215,45568.0,0.12145,8.233841086867258,0.39913234964463257
1787020108832,0.1214,106106.0,0.1215,45759.0,0.12145,8.233841086867258,0.39737266651302144
1787020108925,0.1214,106106.0,0.1215,45854.0,0.12145,8.233841086867258,0.39649907870492235
1787020109033,0.1214,106106.0,0.1215,46110.0,0.12145,8.233841086867258,0.39415041782729804
1787020109137,0.1214,106054.0,0.1215,46110.0,0.12145,8.233841086867258,0.3939433768828369
1787020109141,0.1214,106105.0,0.1215,46110.0,0.12145,8.233841086867258,0.39414643760470386
1787020109516,0.1214,106105.0,0.1215,45757.0,0.12145,8.233841086867258,0.39738710144736666
1787020109519,0.1214,106105.0,0.1215,45989.0,0.12145,8.233841086867258,0.39525556563704023
1787020109770,0.1214,106105.0,0.1215,45958.0,0.12145,8.233841086867258,0.3955400064446973
1787020110187,0.1214,106105.0,0.1215,45666.0,0.12145,8.233841086867258,0.39822495733704066
1787020110312,0.1214,106045.0,0.1215,45666.0,0.12145,8.233841086867258,0.3979869620528505
1787020110318,0.1214,106103.0,0.1215,45666.0,0.12145,8.233841086867258,0.39821702719264146
1787020110340,0.1214,105811.0,0.1215,45666.0,0.12145,8.233841086867258,0.3970569789472989
1787020110341,0.1214,105811.0,0.1215,51070.0,0.12145,8.233841086867258,0.3489332678909492
1787020110514,0.1214,105761.0,0.1215,51070.0,0.12145,8.233841086867258,0.34872569836320627
1787020110522,0.1214,105808.0,0.1215,51070.0,0.12145,8.233841086867258,0.34892081745050296
1787020111082,0.1214,105808.0,0.1215,51028.0,0.12145,8.233841086867258,0.3492820525899666
1787020111165,0.1214,105808.0,0.1215,51070.0,0.12145,8.233841086867258,0.34892081745050296
1787020111581,0.1214,105808.0,0.1215,52215.0,0.12145,8.233841086867258,0.33914683305594756
1787020111834,0.1214,105808.0,0.1215,52024.0,0.12145,8.233841086867258,0.34076739824623653
1787020112833,0.1214,105808.0,0.1215,52211.0,0.12145,8.233841086867258,0.33918073143103045
1787020112897,0.1214,105808.0,0.1215,52121.0,0.12145,8.233841086867258,0.33994389884061826
1787020113186,0.1214,105808.0,0.1215,52120.0,0.12145,8.233841086867258,0.3399523833645712
1787020114443,0.1214,105757.0,0.1215,52120.0,0.12145,8.233841086867258,0.33973916403275967
1787020114445,0.1214,105813.0,0.1215,52120.0,0.12145,8.233841086867258,0.3399732798085264
1787020114447,0.1214,105813.0,0.1215,51058.0,0.12145,8.233841086867258,0.34904475651968814
1787020114462,0.1214,105813.0,0.1215,60494.0,0.12145,8.233841086867258,0.27250205944428074
1787020114544,0.1214,105813.0,0.1215,58826.0,0.12145,8.233841086867258,0.28539410467750653
1787020114792,0.1214,105813.0,0.1215,58759.0,0.12145,8.233841086867258,0.285917410008993
1787020114837,0.1214,105813.0,0.1215,58730.0,0.12145,8.233841086867258,0.28614404745264155
1787020115033,0.1214,105813.0,0.1215,55826.0,0.12145,8.233841086867258,0.30925086148763603
1787020115183,0.1214,105813.0,0.1215,55560.0,0.12145,8.233841086867258,0.3114089717610753
1787020115184,0.1214,105813.0,0.1215,55424.0,0.12145,8.233841086867258,0.3125151174978448
1787020115186,0.1214,105813.0,0.1215,55560.0,0.12145,8.233841086867258,0.3114089717610753
1787020115882,0.1214,107027.0,0.1215,55560.0,0.12145,8.233841086867258,0.31655052371960857
1787020116032,0.1214,107027.0,0.1215,55304.0,0.12145,8.233841086867258,0.3186267564420844
1787020116159,0.1214,107027.0,0.1215,50342.0,0.12145,8.233841086867258,0.3602043604521856
1787020116184,0.1214,107027.0,0.1215,50299.0,0.12145,8.233841086867258,0.3605761285483645
1787020116229,0.1214,107027.0,0.1215,50342.0,0.12145,8.233841086867258,0.3602043604521856
1787020116629,0.1214,107027.0,0.1215,50290.0,0.12145,8.233841086867258,0.3606539661956432
1787020116662,0.1214,107027.0,0.1215,50536.0,0.12145,8.233841086867258,0.3585296040314033
1787020116830,0.1214,107027.0,0.1215,50349.0,0.12145,8.233841086867258,0.3601438592923953
1787020117833,0.1214,107027.0,0.1215,50536.0,0.12145,8.233841086867258,0.3585296040314033
1787020118033,0.1214,107027.0,0.1215,50791.0,0.12145,8.233841086867258,0.3563345119061197
1787020118738,0.1214,107027.0,0.1215,50902.0,0.12145,8.233841086867258,0.35538121560954605
1787020119088,0.1214,107027.0,0.1215,52559.0,0.12145,8.233841086867258,0.34130813479879185
1787020119902,0.1214,107027.0,0.1215,52533.0,0.12145,8.233841086867258,0.3415266984206568
