symbol,rid,family,pf,pv,tf,tv,latency,horizon_s,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps,impact,tf1,tv1
SOLUSDT,8,exhaustion_rev,0.95,0.9,0.9999999999976106,2.5754725254803548,~250ms,5,150,0.36580354744239113,-9.634196452557608,0.0,3.2732753550019043,-9.853235450267189,0.0,-1.3577364042685438,1.3754212249170057,2.6780932616699005,,
SOLUSDT,18,exhaustion_rev,0.975,0.9,0.9999999999999245,2.5754725254803548,~250ms,5,150,0.36580354744239113,-9.634196452557608,0.0,3.2732753550019043,-9.853235450267189,0.0,-1.3577364042685438,1.3754212249170057,2.678451870847809,,
SOLUSDT,3,exhaustion_rev,0.95,0.75,0.9999999999976106,0.907069844362305,~250ms,120,369,0.3381641165499554,-9.661835883450046,0.02981029810298103,1.1664980475688569,-10.23003372125979,0.0,-6.72196699387134,6.833329509762696,1.3771259403405622,,
SOLUSDT,14,flow_accel,0.975,0.75,0.9999999999999245,0.907069844362305,500ms,60,57,0.4559664140932412,-9.54403358590676,0.017543859649122806,0.8504075490417367,-10.594934618746594,0.0,-4.0878377656189135,4.127974542069128,,1.000000000039857,
SOLUSDT,14,flow_accel,0.975,0.75,0.9999999999999245,0.907069844362305,~250ms,60,57,0.33725327085336676,-9.662746729146635,0.017543859649122806,0.6266119273465075,-10.717652296730998,0.0,-4.038262953018307,4.125698142939286,,1.000000000039857,
SOLUSDT,4,flow_accel,0.95,0.75,0.9999999999976106,0.907069844362305,500ms,60,61,0.29324588618945896,-9.706754113810542,0.01639344262295082,0.5691353840406942,-10.716640255225082,0.0,-4.127399109292338,4.123428001521196,,1.000000000039857,
SOLUSDT,15,flow_extreme,0.975,0.9,0.9999999999999245,2.5754725254803548,500ms,60,787,0.2583439705298221,-9.741656029470178,0.022871664548919948,1.7657965997165808,-10.028412829386841,0.0,-4.05005991524819,5.204538496074694,,,
SOLUSDT,5,flow_extreme,0.95,0.9,0.9999999999976106,2.5754725254803548,500ms,60,788,0.25634666875055173,-9.743653331249448,0.02284263959390863,1.7542088247479166,-10.030072749315757,0.0,-4.049622407919956,5.2044707762585425,,,
SOLUSDT,10,flow_extreme,0.975,0.75,0.9999999999999245,0.907069844362305,500ms,60,1704,0.23163943816939722,-9.768360561830603,0.01643192488262911,2.278531025001532,-9.96761758042297,0.0,-4.082465866049417,5.2020341310783555,,,
SOLUSDT,7,momentum_cont,0.95,0.9,0.9999999999976106,2.5754725254803548,500ms,60,317,0.4477083646488342,-9.552291635351166,0.025236593059936908,1.903842242036418,-10.01320608263914,0.0,-4.0814662824592,5.4240231547725966,2.6780932616699005,,
SOLUSDT,17,momentum_cont,0.975,0.9,0.9999999999999245,2.5754725254803548,500ms,60,317,0.4477083646488342,-9.552291635351166,0.025236593059936908,1.903842242036418,-10.01320608263914,0.0,-4.0814662824592,5.4240231547725966,2.678451870847809,,
SOLUSDT,7,momentum_cont,0.95,0.9,0.9999999999976106,2.5754725254803548,500ms,120,298,0.3735669304545978,-9.626433069545401,0.03691275167785235,1.2765039835340386,-10.200024059574213,0.0,-5.503274674701931,6.796067173717063,2.6780932616699005,,
SOLUSDT,30,persistent_childflow,0.95,0.75,,,~250ms,1,44,-0.2181026852333578,-10.218102685233358,0.0,-2.0100674474198,-10.430772794192196,0.0,-1.3740050740109904,-0.0,,1.000000000000625,0.24968467092688815
SOLUSDT,30,persistent_childflow,0.95,0.75,,,500ms,1,44,-0.3432437922170081,-10.343243792217008,0.0,-3.115326921110922,-10.559194750104096,0.0,-1.3764626304491907,-0.0,,1.000000000000625,0.24968467092688815
SOLUSDT,30,persistent_childflow,0.95,0.75,,,~250ms,5,41,-0.5006075972528399,-10.50060759725284,0.0,-2.6366694270462396,-10.872740288803314,0.0,-1.3776951182510153,1.3503477165882538,,1.000000000000625,0.24968467092688815
SOLUSDT,11,underreact_cont,0.975,0.75,0.9999999999999245,0.907069844362305,~250ms,120,628,0.36768584755083833,-9.63231415244916,0.041401273885350316,1.6412711678030285,-10.071403241039139,0.0,-5.798594490665391,6.8317621380713245,0.0,,
SOLUSDT,1,underreact_cont,0.95,0.75,0.9999999999976106,0.907069844362305,~250ms,120,677,0.31221699089083393,-9.687783009109166,0.03988183161004431,1.4676704053549268,-10.104733095391003,0.0,-5.504942049674641,6.812644202670522,0.0,,
SOLUSDT,11,underreact_cont,0.975,0.75,0.9999999999999245,0.907069844362305,500ms,120,626,0.3028793546058922,-9.697120645394108,0.039936102236421724,1.3463661534532498,-10.138043446004426,0.0,-5.5058505219428255,6.839058631229832,0.0,,
