symbol,family,rid,latency,horizon_s,extra_stress_bps,train_mean_net_bps,train_n,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps,pass_net_ge_0,events_per_oos_day
ETHUSDT,momentum_cont,27,~250ms,60,0.0,-9.151691977322427,41,90,0.8649931858148837,-9.135006814185118,0.0,3.705699559934456,-9.592514665746393,0.61189253115287,-1.7746747695546026,3.6953579054870067,False,15.0
ETHUSDT,momentum_cont,27,500ms,120,0.0,-9.172942137781025,41,88,0.7084906952852971,-9.291509304714703,0.0,2.552436633529572,-9.835554843208222,0.6650252905851547,-1.820850448281608,4.02641943262584,False,14.666666666666666
ETHUSDT,momentum_cont,27,~250ms,120,0.0,-9.120345069439107,41,88,0.7030535998265091,-9.296946400173491,0.0,2.5250544408354716,-9.84267128965509,0.6650252905851547,-1.820850448281608,4.058381419170132,False,14.666666666666666
ETHUSDT,flow_extreme,20,~250ms,120,0.0,-9.541283560767233,326,622,0.47762935684317626,-9.522370643156824,0.014469453376205787,3.3576384991042016,-9.8011837255248,0.2124298045427082,-2.7510609003910025,3.9623427607028088,False,103.66666666666667
BTCUSDT,momentum_cont,17,~250ms,60,0.0,-9.341382198983172,104,157,0.4040261358157822,-9.595973864184218,0.0,2.5662410088442704,-9.904554088516136,0.06309984288271087,-1.6858358719250746,2.736710344930817,False,26.166666666666668
BTCUSDT,momentum_cont,7,~250ms,60,0.0,-9.37696126914136,622,638,0.3925425896157698,-9.607457410384232,0.001567398119122257,4.014821315759187,-9.799093205637904,0.26847439376972193,-2.2623636013367547,3.2344872911521536,False,106.33333333333333
BTCUSDT,momentum_cont,17,500ms,60,0.0,-9.351524237492864,104,157,0.3906493353405315,-9.609350664659468,0.0,2.4768070283767085,-9.918487665844927,0.06309984288271087,-1.6858358719250746,2.6544333406581315,False,26.166666666666668
ETHUSDT,flow_extreme,25,~250ms,120,0.0,-9.527889787179971,153,330,0.38494006173928774,-9.615059938260712,0.012121212121212121,2.1603092767826,-9.964307395149234,0.07966439776542558,-1.9203062404917233,3.284833633561316,False,55.0
ETHUSDT,underreact_cont,26,500ms,120,0.0,-9.346665729950429,43,89,0.3596681529413889,-9.640331847058611,0.033707865168539325,1.0510458735428456,-10.311044322612977,0.0,-2.357150527261758,2.497374352717925,False,14.833333333333334
ETHUSDT,underreact_cont,26,~250ms,120,0.0,-9.346561312039151,43,89,0.3542976223128153,-9.645702377687185,0.033707865168539325,1.035011097274132,-10.316635608801318,0.0,-2.32529271424057,2.497374352717925,False,14.833333333333334
ETHUSDT,flow_extreme,10,~250ms,120,0.0,-9.541622856551976,735,917,0.3411957765564025,-9.658804223443598,0.011995637949836423,2.953404907288495,-9.885235662085893,0.05319332849250171,-2.9129230941654933,3.9025546064541103,False,152.83333333333334
ETHUSDT,flow_accel,4,500ms,120,0.0,-9.69529757203525,113,68,0.31144188835064535,-9.688558111649355,0.014705882352941176,0.7007397927345187,-10.559674762218291,-0.21271276309216902,-3.699994872322535,4.623642307600368,False,11.333333333333334
BTCUSDT,flow_extreme,5,~250ms,120,0.0,-9.519664344427536,1321,1471,0.29373391235509816,-9.706266087644902,0.006798096532970768,3.7641369502467414,-9.859214419712963,0.015866631442935392,-2.8023111378458174,3.503440461890074,False,245.16666666666666
BTCUSDT,flow_extreme,5,500ms,120,0.0,-9.53977974272542,1319,1470,0.27913356723606836,-9.720866432763932,0.006802721088435374,3.5991834491790917,-9.87287363092647,0.015866505570103398,-2.8339560841713722,3.482814800613572,False,245.0
BTCUSDT,flow_extreme,5,~250ms,60,0.0,-9.567407229756007,1640,1845,0.2683459081505659,-9.731654091849434,0.0005420054200542005,5.801122190603481,-9.822318960248007,0.0,-1.7162004585559816,2.501392677558399,False,307.5
ETHUSDT,exhaustion_rev,18,500ms,120,0.0,-9.275748397410558,45,60,0.24796258832156043,-9.752037411678439,0.0,0.7664886430665254,-10.386106393008507,0.053201395099797544,-2.8290045906875028,3.4321199938983025,False,10.0
ETHUSDT,exhaustion_rev,18,~250ms,120,0.0,-9.265356691026316,45,60,0.2444042785718042,-9.755595721428195,0.0,0.7528855250938361,-10.391857636466383,0.10606377369134248,-2.8290045906875028,3.4321199938983025,False,10.0
SOLUSDT,momentum_cont,7,500ms,60,0.0,-9.552291635351166,317,143,0.23029727581829287,-9.769702724181707,0.03496503496503497,0.6894860393607275,-10.424368134118598,0.0,-3.982318738046924,3.998667448289363,False,23.833333333333332
BTCUSDT,underreact_cont,6,~250ms,120,0.0,-9.629310502123795,442,531,0.20930871778792212,-9.790691282212078,0.0018832391713747645,2.20511178286689,-9.976734044330453,0.0,-1.984620770687828,2.5085098947783857,False,88.5
BTCUSDT,underreact_cont,6,500ms,120,0.0,-9.630538267721372,442,531,0.2000806822203811,-9.79991931777962,0.0018832391713747645,2.1079293654360107,-9.985958823458613,0.0,-1.984620770687828,2.5085098947783857,False,88.5
BTCUSDT,flow_accel,9,500ms,60,0.0,-9.75790279741218,68,22,0.1705077647262641,-9.829492235273735,0.0,0.6198677410056542,-10.368631791594716,-0.007838213012191864,-1.0769446444010011,1.9195546824577951,False,3.6666666666666665
SOLUSDT,momentum_cont,17,500ms,60,0.0,-9.552291635351166,317,138,0.1527494071516357,-9.847250592848365,0.036231884057971016,0.4472166190521094,-10.516699860301284,0.0,-3.9849663536923012,3.9943020518287558,False,23.0
SOLUSDT,underreact_cont,11,~250ms,120,0.0,-9.63231415244916,628,680,0.14851216730113428,-9.851487832698865,0.01911764705882353,0.819490279834579,-10.206688931568495,0.0,-5.284993517556047,5.310463477490639,False,113.33333333333333
SOLUSDT,exhaustion_rev,3,~250ms,120,0.0,-9.661835883450046,369,376,0.1277495045687607,-9.872250495431238,0.018617021276595744,0.5289069369699902,-10.345658975170988,0.0,-5.287857902942621,5.288567200575325,False,62.666666666666664
SOLUSDT,flow_extreme,10,500ms,60,0.0,-9.768360561830603,1704,1635,0.12689899197370183,-9.873101008026298,0.011009174311926606,1.4411469991916253,-10.045687166418169,0.0,-3.964111645048693,3.9844342641263157,False,272.5
BTCUSDT,underreact_cont,6,~250ms,60,0.0,-9.795958024750863,510,591,0.12324788403393083,-9.876752115966069,0.0,2.091992853183989,-9.992223759350912,0.0,-1.2378205912372768,1.5591738319477666,False,98.5
SOLUSDT,underreact_cont,11,500ms,120,0.0,-9.697120645394108,626,679,0.12141063497653397,-9.878589365023466,0.01914580265095729,0.6740267854218004,-10.231638902075751,0.0,-5.277462850790078,5.293246476091656,False,113.16666666666667
BTCUSDT,flow_accel,4,~250ms,60,0.0,-9.739005170456105,123,53,0.11521223541935928,-9.884787764580642,0.0,0.4429271019998107,-10.39461428095859,-0.015676426024383728,-2.2079904170002678,2.3266831953357006,False,8.833333333333334
SOLUSDT,underreact_cont,1,~250ms,120,0.0,-9.687783009109166,677,973,0.09657688917629575,-9.903423110823704,0.020554984583761562,0.6668054834771147,-10.187300054664158,0.0,-5.271342484038396,5.280249409323112,False,162.16666666666666
SOLUSDT,flow_accel,4,500ms,60,0.0,-9.706754113810542,61,200,0.08652281338789132,-9.913477186612107,0.005,0.43744344695993226,-10.301149502699632,0.0,-2.658408102461668,3.9662081853649664,False,33.333333333333336
ETHUSDT,underreact_cont,6,~250ms,120,0.0,-9.485578350431684,350,512,0.07596743985643314,-9.924032560143567,0.005859375,0.5166558022322782,-10.212224779170787,0.0,-2.822125173224364,3.0197338648454015,False,85.33333333333333
SOLUSDT,flow_extreme,5,500ms,60,0.0,-9.743653331249448,788,1001,0.040770507990276185,-9.959229492009724,0.01098901098901099,0.3871914654727558,-10.16561367861201,0.0,-3.96536916173407,3.939334303454098,False,166.83333333333334
SOLUSDT,flow_extreme,15,500ms,60,0.0,-9.741656029470178,787,842,0.03134485719297197,-9.968655142807028,0.011876484560570071,0.26269986938882495,-10.202518677802903,0.0,-3.9709854423468025,3.940369132220842,False,140.33333333333334
BTCUSDT,exhaustion_rev,3,~250ms,1,0.0,-10.038462032384755,522,556,-0.01710747558594831,-10.017107475585949,0.0,-1.9519796923744823,-10.034285242485598,0.0,-0.015899743156877897,0.015764093572094753,False,92.66666666666667
BTCUSDT,exhaustion_rev,3,500ms,1,0.0,-10.030720905464618,503,535,-0.019295704713463348,-10.019295704713464,0.0,-2.258053754137525,-10.036044456229716,0.0,-0.01589793531742422,0.015757041804276027,False,89.16666666666667
SOLUSDT,flow_accel,14,500ms,60,0.0,-9.54403358590676,57,42,-0.030118466706384284,-10.030118466706384,0.0,-0.0705678184414497,-10.866649849541924,0.0,-2.6518871013348786,2.6446019080697476,False,7.0
BTCUSDT,exhaustion_rev,13,500ms,1,0.0,-10.045912162042223,105,181,-0.04193476843463818,-10.041934768434638,0.0,-3.28283557956114,-10.066971704991442,0.0,-0.015907950236043748,0.015773231406243204,False,30.166666666666668
ETHUSDT,exhaustion_rev,23,500ms,120,0.0,-9.813224036469338,40,69,-0.050102647289429966,-10.05010264728943,0.014492753623188406,-0.08479799012180265,-11.208162980396711,-0.1062733137101383,-3.547437776376086,2.6635124318556826,False,11.5
SOLUSDT,exhaustion_rev,8,~250ms,5,0.0,-9.634196452557608,150,52,-0.05087738176656512,-10.050877381766565,0.0,-0.27981503742638764,-10.40725446993039,0.0,-1.3253109568572867,1.3250123336260715,False,8.666666666666666
SOLUSDT,exhaustion_rev,18,~250ms,5,0.0,-9.634196452557608,150,51,-0.0779440370715396,-10.07794403707154,0.0,-0.42508769435432714,-10.437329440811027,0.0,-1.3254688865589561,1.324064881113717,False,8.5
SOLUSDT,persistent_childflow,30,500ms,1,0.0,-10.343243792217008,44,762,-0.13235281390140344,-10.132352813901404,0.0,-5.599438658747067,-10.178680942675797,0.0,-1.3258203532852997,0.0,False,127.0
SOLUSDT,flow_accel,14,~250ms,60,0.0,-9.662746729146635,57,42,-0.15596777223326286,-10.155967772233263,0.0,-0.37459041499184104,-10.97205067596654,0.0,-2.6604944033038276,2.652188579065427,False,7.0
SOLUSDT,persistent_childflow,30,~250ms,1,0.0,-10.218102685233358,44,773,-0.18866518031883836,-10.18866518031884,0.0,-8.234412150934284,-10.233572302606005,0.0,-1.3259961565542422,0.0,False,128.83333333333334
SOLUSDT,persistent_childflow,30,~250ms,5,0.0,-10.50060759725284,41,662,-0.2724248329226987,-10.272424832922699,0.0,-7.531211407472074,-10.343323476399727,0.0,-1.3287977079043491,0.0,False,110.33333333333333
SOLUSDT,momentum_cont,7,500ms,120,0.0,-9.626433069545401,298,139,-0.30788460307624155,-10.307884603076241,0.02158273381294964,-0.7100138893100654,-11.157802937231397,0.0,-6.622631439535214,6.602869032215445,False,23.166666666666668
BTCUSDT,flow_accel,9,500ms,120,0.0,-9.748744211445906,63,21,-0.359402028519728,-10.359402028519728,0.0,-0.6319779777280257,-11.474042096249779,-0.7684773722489482,-2.6804125487797177,2.730128387593758,False,3.5
