symbol,rid,family,pf,pv,tf,tv,latency,horizon_s,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps,impact,tf1,tv1
BTCUSDT,3,exhaustion_rev,0.95,0.75,0.995411521411542,0.9516539587749391,500ms,1,503,-0.030720905464618923,-10.030720905464618,0.0,-1.6246744581754693,-10.067782468418143,0.0,-0.0675851700626928,0.015406191222150135,0.8907112642475568,,
BTCUSDT,3,exhaustion_rev,0.95,0.75,0.995411521411542,0.9516539587749391,~250ms,1,522,-0.03846203238475397,-10.038462032384755,0.0,-2.438994423185891,-10.069370501365855,0.0,-0.16908964119460174,0.015420825862210722,0.8907112642475568,,
BTCUSDT,13,exhaustion_rev,0.975,0.75,0.9999999999963446,0.9516539587749391,500ms,1,105,-0.04591216204222343,-10.045912162042223,0.0,-3.2924578481889317,-10.073243669916273,0.0,-0.12081138763745089,0.015382620410674204,0.2613143342422575,,
BTCUSDT,4,flow_accel,0.95,0.75,0.995411521411542,0.9516539587749391,~250ms,60,123,0.2609948295438927,-9.739005170456105,0.0,1.7127048397793905,-10.037684694227359,0.0,-1.5298678716984306,1.4763767458700645,,1.0000000000446465,
BTCUSDT,9,flow_accel,0.95,0.9,0.995411521411542,2.3089144916411484,500ms,120,63,0.2512557885540964,-9.748744211445906,0.0,0.7919119116738933,-10.370608005014935,0.2760943690736782,-1.680032972113388,2.7356843808334785,,1.0000000000446465,
BTCUSDT,9,flow_accel,0.95,0.9,0.995411521411542,2.3089144916411484,500ms,60,68,0.242097202587819,-9.75790279741218,0.0,1.5991092278703822,-10.054637072220947,0.007670058622027445,-0.5796033401419762,1.3196816916614948,,1.0000000000446465,
BTCUSDT,5,flow_extreme,0.95,0.9,0.995411521411542,2.3089144916411484,~250ms,120,1321,0.48033565557246355,-9.519664344427536,0.012112036336109008,5.386112553264975,-9.69445792246952,0.061717918254898925,-2.783384290311655,4.286386164169399,,,
BTCUSDT,5,flow_extreme,0.95,0.9,0.995411521411542,2.3089144916411484,500ms,120,1319,0.4602202572745805,-9.53977974272542,0.012130401819560273,5.183041682006076,-9.713814944369611,0.06147707903980978,-2.792621457303847,4.244083765813431,,,
BTCUSDT,5,flow_extreme,0.95,0.9,0.995411521411542,2.3089144916411484,~250ms,60,1640,0.43259277024399334,-9.567407229756007,0.003658536585365854,7.403630670231373,-9.68192966711737,0.015417894531043606,-1.7725641955237235,2.847759786362938,,,
BTCUSDT,17,momentum_cont,0.975,0.9,0.9999999999963446,2.3089144916411484,~250ms,60,104,0.658617801016828,-9.341382198983172,0.0,2.658769700766907,-9.826904088908664,0.2308474515619206,-1.5062937763580841,3.221518291115736,0.42971411740921894,,
BTCUSDT,17,momentum_cont,0.975,0.9,0.9999999999963446,2.3089144916411484,500ms,60,104,0.6484757625071368,-9.351524237492864,0.0,2.6240875656870237,-9.835887835390261,0.24661668997340577,-1.5172081089814318,2.9989472153323318,0.42971411740921894,,
BTCUSDT,7,momentum_cont,0.95,0.9,0.995411521411542,2.3089144916411484,~250ms,60,622,0.623038730858642,-9.37696126914136,0.00964630225080386,4.9031577126209305,-9.626016262689626,0.24882244468964693,-2.484567411052484,4.142660995672149,1.1421180746573611,,
BTCUSDT,6,underreact_cont,0.95,0.9,0.995411521411542,2.3089144916411484,~250ms,120,442,0.3706894978762066,-9.629310502123795,0.0022624434389140274,3.8697202319485187,-9.817063459001384,0.0,-1.7203830903825394,2.7921587953972358,0.015400382995522932,,
BTCUSDT,6,underreact_cont,0.95,0.9,0.995411521411542,2.3089144916411484,500ms,120,442,0.3694617322786287,-9.630538267721372,0.0022624434389140274,3.8602095930374003,-9.818130412088932,0.0,-1.7065438029513484,2.9036757566667135,0.015400382995522932,,
BTCUSDT,6,underreact_cont,0.95,0.9,0.995411521411542,2.3089144916411484,~250ms,60,510,0.20404197524913636,-9.795958024750863,0.0,3.2829586399664112,-9.917775664065502,0.0,-0.8133239650618188,1.7474078285838293,0.015400382995522932,,
