symbol,rid,family,pf,pv,tf,tv,latency,horizon_s,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps,impact,tf1,tv1
ETHUSDT,18,exhaustion_rev,0.975,0.9,0.9999999999970668,2.312060569589621,~250ms,120,45,0.734643308973684,-9.265356691026316,0.022222222222222223,1.1794621639321892,-10.48616811645429,0.522468769547775,-3.228902130238411,4.133533728548621,0.8345318903524301,,
ETHUSDT,18,exhaustion_rev,0.975,0.9,0.9999999999970668,2.312060569589621,500ms,120,45,0.724251602589443,-9.275748397410558,0.022222222222222223,1.156830560435577,-10.502836606889408,0.4702206641940596,-3.228902130238411,4.1700494994140875,0.8345318903524301,,
ETHUSDT,23,exhaustion_rev,0.99,0.75,0.999999999999993,0.9759911611236937,500ms,120,40,0.18677596353066256,-9.813224036469338,0.0,0.3976172935627735,-10.733910572107416,0.8435330822260791,-3.909833829753952,3.1293062974905492,0.7288288244655661,,
ETHUSDT,9,flow_accel,0.95,0.9,0.9976798184921255,2.312060569589621,500ms,120,55,0.3569628051853404,-9.64303719481466,0.0,1.2678685134689522,-10.194866576750329,0.31187462642621727,-1.4200504167393104,2.5899813427215013,,1.0000000006468754,
ETHUSDT,9,flow_accel,0.95,0.9,0.9976798184921255,2.312060569589621,~250ms,120,55,0.3296207555541051,-9.670379244445897,0.0,1.1862901273614435,-10.214981838689019,0.2598948465603428,-1.4411761146176145,2.537762697050893,,1.0000000006468754,
ETHUSDT,4,flow_accel,0.95,0.75,0.9976798184921255,0.9759911611236937,500ms,120,113,0.3047024279647505,-9.69529757203525,0.0,1.5387937665731812,-10.083404654208374,0.20822271502305909,-2.3488445161237173,2.487217328495508,,1.0000000006468754,
ETHUSDT,25,flow_extreme,0.99,0.9,0.999999999999993,2.312060569589621,~250ms,120,153,0.47211021282002774,-9.527889787179971,0.006535947712418301,1.9498020563374743,-10.002469252372153,0.26605721828079765,-2.5798857361641843,3.7507001879542257,,,
ETHUSDT,20,flow_extreme,0.99,0.75,0.999999999999993,0.9759911611236937,~250ms,120,326,0.45871643923276734,-9.541283560767233,0.006134969325153374,2.208879232966637,-9.948315419946201,0.23733131356986714,-2.669585474352349,3.6625899710698433,,,
ETHUSDT,10,flow_extreme,0.975,0.75,0.9999999999970668,0.9759911611236937,~250ms,120,735,0.4583771434480247,-9.541622856551976,0.006802721088435374,3.530761405245386,-9.796077660499764,0.20833007818429392,-2.8944758985266716,3.737049726976472,,,
ETHUSDT,27,momentum_cont,0.99,0.9,0.999999999999993,2.312060569589621,~250ms,120,41,0.8796549305608933,-9.120345069439107,0.024390243902439025,1.4008284282321946,-10.351133672205505,0.0,-2.8658446230990835,6.321552955304075,0.8879406101591769,,
ETHUSDT,27,momentum_cont,0.99,0.9,0.999999999999993,2.312060569589621,~250ms,60,41,0.8483080226775731,-9.151691977322427,0.0,1.7595069623944868,-10.09666335850146,0.46916907558805065,-2.088012407168487,4.897593503861105,0.8879406101591769,,
ETHUSDT,27,momentum_cont,0.99,0.9,0.999999999999993,2.312060569589621,500ms,120,41,0.8270578622189764,-9.172942137781025,0.024390243902439025,1.306533497424328,-10.413655378692845,-0.052246194517337516,-2.8658446230990835,6.32158682161666,0.8879406101591769,,
ETHUSDT,26,underreact_cont,0.99,0.9,0.999999999999993,2.312060569589621,~250ms,120,43,0.6534386879608509,-9.346561312039151,0.0,2.2189386053484093,-9.923747100468017,0.5729002556171623,-0.5737341634111949,2.156486301328597,0.05209106560322141,,
ETHUSDT,26,underreact_cont,0.99,0.9,0.999999999999993,2.312060569589621,500ms,120,43,0.6533342700495726,-9.346665729950429,0.0,2.197621221209747,-9.929357213331834,0.5729002556171623,-0.5737341634111949,2.114826686418905,0.05209106560322141,,
ETHUSDT,6,underreact_cont,0.95,0.9,0.9976798184921255,2.312060569589621,~250ms,120,350,0.5144216495683163,-9.485578350431684,0.014285714285714285,3.309533459644638,-9.790233506648827,0.052128538601405816,-2.036733280664337,3.4492654808756558,0.10408805849237979,,
