symbol,lat_ms,profile,side,signal_ts,fill_ts,entry,qsec_entry,flow5_entry,flow1_entry,spread_entry_bp,close_ts,exit_px,gross_bp,fees_bp,net_bp,exit_mode
GALAUSDT,10,protective,buy,1787022624500,1787022624589,0.001451,0.7678077447974548,0.008360839764516495,0.07314123302548367,6.889424733034212,1787022654760,0.001448,-20.675396278428426,7.0,-27.675396278428426,MT_stop
GALAUSDT,10,protective,sell,1787022668750,1787022668830,0.001452,1.2922761443890742,-0.6407876383775598,-0.5731341266339377,6.889424733034212,1787022699010,0.001463,-75.75757575757686,7.0,-82.75757575757686,MT_stop
GALAUSDT,10,protective,sell,1787022749000,1787022749105,0.001467,0.31403530266710683,-0.7524747357948255,-0.9999999999999956,6.818956699624384,1787022779260,0.001469,-13.633265167007831,7.0,-20.63326516700783,MT_stop
GALAUSDT,10,protective,sell,1787022782500,1787022782669,0.001467,1.275743379415867,-0.5284087078574798,-0.8460839859165891,6.818956699624384,1787022783709,0.001468,-6.816632583503176,7.0,-13.816632583503175,MT_end
GALAUSDT,10,neutral,buy,1787022624500,1787022624589,0.001451,0.7678077447974548,0.008360839764516495,0.07314123302548367,6.889424733034212,1787022654760,0.001448,-20.675396278428426,7.0,-27.675396278428426,MT_stop
GALAUSDT,10,neutral,buy,1787022714250,1787022714364,0.001463,0.17639351935061873,-0.10913514336875477,0.29924811335396273,6.832934745472606,1787022720551,0.001464,6.835269993164155,4.0,2.8352699931641547,MM
GALAUSDT,10,strict,buy,1787022624500,1787022624589,0.001451,0.7678077447974548,0.008360839764516495,0.07314123302548367,6.889424733034212,1787022644760,0.001444,-48.242591316333986,7.0,-55.242591316333986,MT_stop
GALAUSDT,10,strict,sell,1787022749000,1787022749105,0.001467,0.31403530266710683,-0.7524747357948255,-0.9999999999999956,6.818956699624384,1787022769260,0.001468,-6.816632583503176,7.0,-13.816632583503175,MT_stop
GALAUSDT,240,protective,buy,1787022624250,1787022624589,0.001451,0.19950961006536697,0.008360839764516495,0.23725813637138285,6.889424733034212,1787022654990,0.001448,-20.675396278428426,7.0,-27.675396278428426,MT_stop
GALAUSDT,240,protective,sell,1787022782250,1787022782669,0.001467,0.32284684580341777,-0.5345143884062644,-0.87600809071037,6.818956699624384,1787022783709,0.001468,-6.816632583503176,7.0,-13.816632583503175,MT_end
GALAUSDT,240,neutral,buy,1787022624250,1787022624589,0.001451,0.19950961006536697,0.008360839764516495,0.23725813637138285,6.889424733034212,1787022654990,0.001448,-20.675396278428426,7.0,-27.675396278428426,MT_stop
GALAUSDT,240,strict,buy,1787022624250,1787022624589,0.001451,0.19950961006536697,0.008360839764516495,0.23725813637138285,6.889424733034212,1787022644990,0.001445,-41.35079255685685,7.0,-48.35079255685685,MT_stop
GALAUSDT,240,strict,sell,1787022782250,1787022782669,0.001467,0.32284684580341777,-0.5345143884062644,-0.87600809071037,6.818956699624384,1787022783709,0.001468,-6.816632583503176,7.0,-13.816632583503175,MT_end
