ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787019354480,0.011234,239.0,0.01125,1872.0,0.011241999999999999,14.232342999466635,-0.7735670298436756
1787019354481,0.011232,6944.0,0.01125,7396.0,0.011241000000000001,16.012810248197596,-0.03152022315202231
1787019354482,0.011232,6944.0,0.011247,5524.0,0.0112395,13.34578940344267,0.11389156239974332
1787019354483,0.01123,8847.0,0.011245,5524.0,0.011237500000000001,13.348164627363193,0.23122955952960822
1787019354484,0.01123,1903.0,0.011245,5524.0,0.011237500000000001,13.348164627363193,-0.48754544230510294
1787019354548,0.01123,1903.0,0.011243,4303.0,0.0112365,11.569438882213431,-0.38672252658717365
1787019354549,0.01123,1903.0,0.011242,6944.0,0.011236,10.679957280170754,-0.5697976715270712
1787019354732,0.011227,6944.0,0.011242,6944.0,0.0112345,13.351729048912834,0.0
1787019355399,0.011227,6944.0,0.011242,7834.0,0.0112345,13.351729048912834,-0.06022465827581539
1787019355400,0.011227,6944.0,0.01124,5525.0,0.0112335,11.572528597499318,0.11380222952923248
1787019355401,0.011224,2827.0,0.01124,5525.0,0.011231999999999999,14.245014245014593,-0.3230363984674329
1787019357097,0.011224,2827.0,0.01124,6415.0,0.011231999999999999,14.245014245014593,-0.388227656351439
1787019357699,0.011224,2827.0,0.01124,5525.0,0.011231999999999999,14.245014245014593,-0.3230363984674329
1787019358196,0.011224,3717.0,0.01124,5525.0,0.011231999999999999,14.245014245014593,-0.19562865180696815
1787019359898,0.011224,2827.0,0.01124,5525.0,0.011231999999999999,14.245014245014593,-0.3230363984674329
1787019360471,0.011224,2827.0,0.011231,328.0,0.0112275,6.234691605433144,0.7920760697305862
1787019360507,0.011224,2827.0,0.011227,219.0,0.0112255,2.672486748919452,0.8562048588312539
1787019360509,0.011227,5910.0,0.011231,810.0,0.011229,3.562205004898505,0.7589285714285713
1787019360510,0.011224,2827.0,0.011231,810.0,0.0112275,6.234691605433144,0.5545779488589495
1787019360511,0.011224,2827.0,0.011235,481.0,0.0112295,9.795627588049863,0.7091898428053203
1787019360513,0.011224,2827.0,0.011238,481.0,0.011231,12.465497284302488,0.7091898428053203
1787019360514,0.011225,6944.0,0.011238,481.0,0.0112315,11.57458932466645,0.8704377104377103
1787019360515,0.011225,6944.0,0.01124,5525.0,0.0112325,13.354106387713678,0.11380222952923248
1787019360516,0.011225,6944.0,0.011226,219.0,0.0112255,0.8908289163059689,0.9388524361301129
1787019360517,0.011231,6129.0,0.01124,5525.0,0.011235499999999999,8.010324418139227,0.05182769864424231
1787019360519,0.011226,694.0,0.01124,5525.0,0.011233,12.463277842072575,-0.7768129924425148
1787019360520,0.011226,694.0,0.011242,6944.0,0.011234000000000001,14.242478191205615,-0.8182770358732652
1787019360521,0.011226,6210.0,0.011242,6944.0,0.011234000000000001,14.242478191205615,-0.05580051695301808
1787019360525,0.011226,5516.0,0.011242,6944.0,0.011234000000000001,14.242478191205615,-0.11460674157303369
1787019360527,0.011227,6944.0,0.011243,7955.0,0.011234999999999998,14.241210502893093,-0.06785690314786226
1787019360588,0.011228,5516.0,0.011243,7955.0,0.011235499999999999,13.350540696897681,-0.18105560092049586
1787019360594,0.01123,5308.0,0.011243,7955.0,0.0112365,11.569438882213431,-0.19957777275126287
1787019360595,0.01123,5308.0,0.011243,3652.0,0.0112365,11.569438882213431,0.18482142857142853
1787019360597,0.011233,5416.0,0.011243,3652.0,0.011238,8.898380494749594,0.19453021614468458
1787019360599,0.011233,5416.0,0.011247,481.0,0.01124,12.455516014234986,0.8368662031541461
1787019360600,0.011234,5516.0,0.011249,6944.0,0.0112415,13.343415024686317,-0.11460674157303369
1787019360778,0.011234,5516.0,0.011248,4784.0,0.011241,12.454407970821212,0.07106796116504853
1787019360780,0.011234,5516.0,0.011247,6944.0,0.0112405,11.565321827321613,-0.11460674157303369
1787019360781,0.01123,5789.0,0.011247,6944.0,0.0112385,15.126573831026965,-0.09070918086860912
