symbol,book_events,trade_events,seconds,median_spread_bp,p25_spread_bp,p75_spread_bp,p90_spread_bp
4USDT,305,0,173.218,10.672358591248539,6.225265685446273,13.331555792560447,14.227280810955353
PTBUSDT,615,0,179.399,8.246451080874964,8.241596514981607,10.596338376405106,12.963596038631422
BBUSDT,402,0,173.433,9.35891436593317,9.350163627863106,18.709073900841144,18.744142455483527
