ts,bid,bidq,ask,askq,mid,spread_bp,qimb
1787019702056,0.0008539,38528.0,0.0008541,35920.0,0.0008539999999999999,2.341920374707317,0.03503116269073716
1787019702060,0.0008539,19431.0,0.0008541,35920.0,0.0008539999999999999,2.341920374707317,-0.2978988636158335
1787019702061,0.0008537,27572.0,0.0008541,16397.0,0.0008539,4.684389272748679,0.2541563374195456
1787019702062,0.0008541,66044.0,0.0008542,65111.0,0.0008541499999999999,1.170754551307712,0.007113720407151843
1787019702063,0.0008542,17330.0,0.0008544,5974.0,0.0008542999999999999,2.341097974950309,0.48729831788534156
1787019702064,0.0008545,82441.0,0.0008547,12057.0,0.0008546000000000001,2.340276152586062,0.7448199961903955
1787019702065,0.0008537,27572.0,0.000855,5984.0,0.00085435,15.216246269093197,0.6433424722851353
1787019702066,0.0008539,49465.0,0.0008553,12047.0,0.0008546000000000001,16.381933068102434,0.6083040707504227
1787019702067,0.000854,49465.0,0.0008555,6075.0,0.00085475,17.548990933021145,0.7812387468491178
1787019702069,0.000854,49465.0,0.0008556,49465.0,0.0008548,18.71782873186629,0.0
1787019702070,0.000854,49465.0,0.0008555,49465.0,0.00085475,17.548990933021145,0.0
1787019702076,0.000854,49465.0,0.0008547,8416.0,0.00085435,8.193363375665275,0.7091964547951832
1787019702079,0.000854,49365.0,0.0008547,8416.0,0.00085435,8.193363375665275,0.7086931690348038
1787019702080,0.000854,49265.0,0.0008547,8416.0,0.00085435,8.193363375665275,0.7081881382084222
1787019702081,0.000854,49165.0,0.0008547,8416.0,0.00085435,8.193363375665275,0.7076813532241538
1787019702086,0.000854,49165.0,0.0008555,49465.0,0.00085475,17.548990933021145,-0.003041670891209571
1787019702087,0.000854,49165.0,0.0008553,49465.0,0.00085465,15.210905048850144,-0.003041670891209571
1787019702098,0.000854,49165.0,0.0008541,11709.0,0.0008540500000000001,1.1708916339786688,0.6153037421559286
1787019702099,0.0008544,82441.0,0.0008553,49465.0,0.00085485,10.52816283558608,0.24999620942186102
1787019702100,0.0008537,27572.0,0.0008553,49465.0,0.0008545,18.724400234055455,-0.2841881173981334
1787019702111,0.0008538,49097.0,0.0008553,49465.0,0.00085455,17.55309812181829,-0.0037336904689434063
1787019702141,0.0008538,49097.0,0.000855,70373.0,0.0008544,14.044943820223793,-0.17808654892441617
1787019702151,0.0008538,49097.0,0.0008553,49465.0,0.00085455,17.55309812181829,-0.0037336904689434063
1787019702153,0.0008539,70373.0,0.0008553,49465.0,0.0008546000000000001,16.381933068102434,0.17446886630284217
1787019702154,0.0008539,70373.0,0.0008552,49097.0,0.0008545499999999999,15.212685038909104,0.17808654892441617
1787019702172,0.0008537,27572.0,0.0008552,49097.0,0.00085445,17.555152437240125,-0.2807523249292413
1787019702196,0.0008537,27572.0,0.0008552,67578.0,0.00085445,17.555152437240125,-0.42045191802417237
1787019702197,0.0008537,27572.0,0.0008552,80351.0,0.00085445,17.555152437240125,-0.4890431140720699
1787019702316,0.0008538,43126.0,0.0008552,80351.0,0.0008545,16.38385020479726,-0.301473148845534
1787019702379,0.0008538,26297.0,0.0008552,80351.0,0.0008545,16.38385020479726,-0.5068449478658765
1787019702380,0.0008538,26297.0,0.0008551,49005.0,0.0008544500000000001,15.214465445608019,-0.3015590555363735
1787019702698,0.0008538,26297.0,0.0008551,60708.0,0.0008544500000000001,15.214465445608019,-0.3955060054019884
1787019703054,0.0008538,108801.0,0.0008551,60708.0,0.0008544500000000001,15.214465445608019,0.2837194485248571
1787019703055,0.0008538,108801.0,0.0008551,11703.0,0.0008544500000000001,15.214465445608019,0.8057657837084247
1787019703056,0.000854,49162.0,0.0008551,11703.0,0.00085455,12.872271955999912,0.6154440154440154
1787019703100,0.000854,49162.0,0.0008551,42957.0,0.00085455,12.872271955999912,0.06735852538564248
1787019703298,0.000854,49162.0,0.0008551,30184.0,0.00085455,12.872271955999912,0.2391802989438661
1787019703397,0.000854,49162.0,0.0008551,17630.0,0.00085455,12.872271955999912,0.4720924661636124
1787019703431,0.000854,49162.0,0.0008551,76140.0,0.00085455,12.872271955999912,-0.21530382595648911
1787019703498,0.000854,49162.0,0.0008551,101467.0,0.00085455,12.872271955999912,-0.3472438906186724
1787019703525,0.0008538,82504.0,0.0008551,101467.0,0.0008544500000000001,15.214465445608019,-0.10307602828706698
1787019703931,0.0008538,82504.0,0.0008551,42957.0,0.0008544500000000001,15.214465445608019,0.31521349263914683
1787019704067,0.0008538,82504.0,0.000855,45345.0,0.0008544,14.044943820223793,0.2906475607943746
1787019704497,0.0008538,82504.0,0.000855,57049.0,0.0008544,14.044943820223793,0.18240381790430876
1787019704699,0.0008538,82504.0,0.000855,88303.0,0.0008544,14.044943820223793,-0.033950599214317916
1787019706396,0.0008538,82504.0,0.000855,62976.0,0.0008544,14.044943820223793,0.13423150948583998
1787019706898,0.0008538,82504.0,0.000855,88303.0,0.0008544,14.044943820223793,-0.033950599214317916
1787019708398,0.0008538,82504.0,0.000855,62976.0,0.0008544,14.044943820223793,0.13423150948583998
1787019709000,0.0008538,82504.0,0.000855,88303.0,0.0008544,14.044943820223793,-0.033950599214317916
1787019709398,0.0008538,82504.0,0.000855,75530.0,0.0008544,14.044943820223793,0.04412974423225382
1787019709399,0.0008538,82504.0,0.000855,62976.0,0.0008544,14.044943820223793,0.13423150948583998
1787019709699,0.0008538,82504.0,0.000855,75749.0,0.0008544,14.044943820223793,0.04268481482183592
