symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
BBUSDT,loose,10,1787023102500,1787023102530,1787023122540,sell,0.01059,9.447331128955684,1.5484e+16,0.907978163480134,0.9999999999999988,4.721435316335973,4.721435316335973,-0.0,7.0,-7.0,MT
ROBOUSDT,loose,10,1787022996750,1787023003225,1787023023235,sell,0.01335,7.493443237168473,1064.706896551715,1.56844746343553,0.9859131486965955,-3.745318352059772,-3.745318352059772,-7.490636704119544,7.0,-14.490636704119545,MT
ROBOUSDT,loose,10,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
ROBOUSDT,loose,10,1787023066250,1787023071401,1787023091411,buy,0.01334,7.493443237168473,0.25645735827356514,37.76347379749978,-0.9079384704633456,-3.748125937031332,-3.748125937031332,-7.496251874062664,7.0,-14.496251874062665,MT
ROBOUSDT,loose,10,1787023122500,1787023127287,1787023136620,sell,0.01334,7.499062617172548,82.37827448747147,0.21459114184659236,0.45900566103130763,3.748125937031332,3.748125937031332,-7.496251874063963,7.0,-14.496251874063963,MT
ROBOUSDT,balanced,10,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
ROBOUSDT,balanced,10,1787023122500,1787023127287,1787023136620,sell,0.01334,7.499062617172548,82.37827448747147,0.21459114184659236,0.45900566103130763,3.748125937031332,3.748125937031332,-7.496251874063963,7.0,-14.496251874063963,MT
ROBOUSDT,strict,10,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
ROBOUSDT,loose,240,1787022996750,1787023003225,1787023023465,sell,0.01335,7.493443237168473,1064.706896551715,1.56844746343553,0.9859131486965955,-3.745318352059772,-3.745318352059772,-7.490636704119544,7.0,-14.490636704119545,MT
ROBOUSDT,loose,240,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
ROBOUSDT,loose,240,1787023066000,1787023071401,1787023091641,buy,0.01334,7.493443237168473,0.2984281903423159,37.76347379749978,-0.9079384704633456,-3.748125937031332,-3.748125937031332,-7.496251874062664,7.0,-14.496251874062665,MT
ROBOUSDT,loose,240,1787023122500,1787023127287,1787023136620,sell,0.01334,7.499062617172548,82.37827448747147,0.21459114184659236,0.45900566103130763,3.748125937031332,3.748125937031332,-7.496251874063963,7.0,-14.496251874063963,MT
ROBOUSDT,balanced,240,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
ROBOUSDT,balanced,240,1787023122500,1787023127287,1787023136620,sell,0.01334,7.499062617172548,82.37827448747147,0.21459114184659236,0.45900566103130763,3.748125937031332,3.748125937031332,-7.496251874063963,7.0,-14.496251874063963,MT
ROBOUSDT,strict,240,1787023031500,1787023032241,1787023041499,sell,0.01336,7.48783227255679,18.343218218218215,1.9404085070541164,-0.3555872175859958,-3.7425149700597276,-3.7425149700597276,-0.0,4.0,-4.0,MM
