symbol,book_events,agg_trades,median_spread_bp,p25_spread_bp,p75_spread_bp,median_bid_notional,median_ask_notional
BBUSDT,630,41,9.456264775414965,9.456264775414965,18.867924528301117,536.11875,740.91752
ROBOUSDT,617,106,7.493443237168473,7.48783227255679,7.499062617172548,756.67745,813.13666
RAREUSDT,292,25,8.166598611679321,8.166598611679321,8.173273395994764,762.73618,1473.5185199999999
