trade_id,ts,price,qty,buyer_maker
318542097,1787024824050,0.001387,3946.0,True
318542098,1787024824601,0.001387,4023.0,True
318542099,1787024824986,0.001387,4354.0,True
318542100,1787024825113,0.001388,8541.0,False
318542101,1787024825264,0.001387,4151.0,True
318542102,1787024825563,0.001387,3082.0,True
318542103,1787024825652,0.001388,216450.0,False
318542104,1787024825778,0.001387,990592.0,True
318542105,1787024826727,0.001386,4941.0,True
318542106,1787024827889,0.001386,3281.0,True
318542107,1787024829173,0.001386,5852.0,True
318542108,1787024829588,0.001386,331046.0,True
318542109,1787024829915,0.001387,102624.0,False
318542110,1787024830084,0.001386,39641.0,True
318542111,1787024830239,0.001386,4896.0,True
318542112,1787024831328,0.001386,3678.0,True
318542113,1787024831749,0.001386,6675.0,True
318542114,1787024832880,0.001386,43188.0,True
318542115,1787024833461,0.001387,215362.0,False
318542116,1787024833668,0.001387,180065.0,False
318542117,1787024834013,0.001386,6407.0,True
318542118,1787024834269,0.001387,51120.0,False
318542119,1787024834843,0.001387,35011.0,False
318542120,1787024835009,0.001386,6748.0,True
318542121,1787024835963,0.001386,3275.0,True
318542122,1787024836997,0.001386,5029.0,True
318542123,1787024837474,0.001386,10049.0,True
318542124,1787024838137,0.001386,9589.0,True
318542125,1787024839323,0.001386,5331.0,True
318542126,1787024840045,0.001387,1865804.0,False
318542127,1787024840046,0.001388,15096.0,False
318542128,1787024840427,0.001387,3639.0,True
318542129,1787024841620,0.001388,926458.0,False
318542130,1787024841649,0.001388,3436.0,True
318542131,1787024842677,0.001388,5513.0,True
318542132,1787024843732,0.001389,5758.0,False
318542133,1787024843901,0.001388,3059.0,True
318542134,1787024844518,0.001389,89210.0,False
318542135,1787024845033,0.001388,2474.0,True
318542136,1787024845074,0.001389,1449738.0,False
318542137,1787024845171,0.001389,150159.0,True
318542138,1787024846093,0.001389,6384.0,True
318542139,1787024846390,0.00139,139240.0,False
318542140,1787024847105,0.001389,5529.0,True
318542141,1787024847357,0.00139,15349.0,False
318542142,1787024848076,0.00139,1933436.0,False
318542143,1787024848089,0.001391,3590.0,False
318542144,1787024848261,0.00139,3324.0,True
318542145,1787024848379,0.001391,4357.0,False
318542146,1787024848837,0.001391,1474743.0,False
318542147,1787024848839,0.001392,1070556.0,False
318542148,1787024848841,0.001393,192290.0,False
318542149,1787024848842,0.001392,1307968.0,True
318542150,1787024848844,0.001393,14370.0,False
318542151,1787024848845,0.001392,413081.0,True
318542152,1787024848848,0.001391,7239.0,True
318542153,1787024848904,0.001392,1708997.0,False
318542154,1787024849415,0.001391,5789.0,True
318542155,1787024850359,0.001391,5278.0,True
318542156,1787024850897,0.001391,1357652.0,True
318542157,1787024850900,0.001391,86320.0,False
318542158,1787024851124,0.00139,4453.0,True
318542159,1787024851357,0.00139,3173.0,True
318542160,1787024852653,0.00139,4777.0,True
318542161,1787024852829,0.00139,1178636.0,True
318542162,1787024852833,0.001389,1250232.0,True
318542163,1787024852880,0.001389,44013.0,False
318542164,1787024853005,0.001388,16299.0,True
318542165,1787024853232,0.001388,52443.0,True
318542166,1787024853234,0.001389,3508087.0,False
318542167,1787024853237,0.00139,363526.0,False
318542168,1787024853407,0.00139,4313.0,False
318542169,1787024853789,0.001389,138199.0,True
318542170,1787024854437,0.001389,29504.0,True
318542171,1787024854873,0.001389,6166.0,True
318542172,1787024855551,0.001389,6705.0,True
318542173,1787024855869,0.001389,3711.0,True
318542174,1787024856485,0.00139,5815.0,False
318542175,1787024856646,0.00139,28568.0,False
318542176,1787024856764,0.001389,4188.0,True
318542177,1787024856974,0.00139,348646.0,False
318542178,1787024857003,0.001389,5043.0,True
318542179,1787024858403,0.001389,6078.0,True
318542180,1787024858920,0.001389,15338.0,True
318542181,1787024859562,0.00139,304211.0,False
318542182,1787024859583,0.001389,6170.0,True
318542183,1787024859614,0.00139,656433.0,False
318542184,1787024860268,0.001391,26439.0,False
318542185,1787024860607,0.00139,2876.0,True
318542186,1787024861342,0.00139,1137466.0,True
318542187,1787024861520,0.001389,78991.0,True
318542188,1787024861701,0.001388,5071.0,True
318542189,1787024862178,0.001388,4808.0,True
318542190,1787024862999,0.001388,6031.0,True
318542191,1787024863269,0.001388,1515758.0,True
318542192,1787024863278,0.001388,569500.0,False
318542193,1787024863473,0.001388,193908.0,False
318542194,1787024863504,0.001387,79639.0,True
318542195,1787024864051,0.001387,4135.0,True
318542196,1787024864355,0.001388,1789506.0,False
318542197,1787024865335,0.001388,5914.0,True
318542198,1787024866415,0.001388,3560.0,True
318542199,1787024866980,0.001389,14384.0,False
318542200,1787024867017,0.001388,3603.0,True
318542201,1787024867461,0.001388,3981.0,True
