symbol,maker_fills,quote_attempts,maker_volume_usd,liquidation_volume_usd,total_volume_usd,liquidation_share,gross_cash_pnl,fees_usd,net_pnl_usd,net_bp_per_volume,max_inventory_usd
GALAUSDT,2,105,200.0,0.5039612561577675,200.50396125615777,0.002513472816199985,0.5039612561577675,0.04025198062807889,0.46370927552968866,23.127187743551247,100.39568345323742
IMXUSDT,1,2,100.0,100.0,200.0,0.5,0.0,0.07,-0.07,-3.5000000000000004,99.94989979959921
