capture,maker_fills,quote_attempts,maker_volume_usd,liquidation_volume_usd,total_volume_usd,liquidation_share,gross_cash_pnl,fees_usd,net_pnl_usd,net_bp_per_volume,max_inventory_usd
gala_v6,5,174,500.0,99.16449124527034,599.1644912452704,0.16550461967325925,0.8355087547296591,0.14958224562263517,0.6859265091070239,11.448050061869191,101.20783979975917
gala_oos,11,289,1100.0,98.28490797169373,1198.2849079716937,0.08202131840086185,1.7150920283062732,0.26914245398584685,1.4459495743204263,12.066826217213636,101.83067790849655
op_v9,0,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,1,14,99.99999999999999,100.07496251874063,200.07496251874062,0.5001873360809292,-0.07496251874063375,0.07003748125937032,-0.14500000000000407,-7.24728362682673,100.18740629685158
