symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
FETUSDT,loose,10,1787023370250,1787023376320,1787023396330,sell,0.1201,8.329862557268044,1.14007e+17,9.440303960251345,0.9999999999999988,-4.163197335554402,-4.163197335554402,-8.32639467110765,7.0,-15.32639467110765,MT
FETUSDT,loose,240,1787023370250,1787023376320,1787023396560,sell,0.1201,8.329862557268044,1.14007e+17,9.440303960251345,0.9999999999999988,-4.163197335554402,-4.163197335554402,-8.32639467110765,7.0,-15.32639467110765,MT
OPUSDT,loose,10,1787023285250,1787023293229,1787023313239,buy,0.0809,12.3533045089565,1.5147350711253087,4.059964e+17,-1.0,-6.180469715697713,-6.180469715697713,0.0,7.0,-7.0,MT
OPUSDT,loose,10,1787023350250,1787023356794,1787023376804,sell,0.0809,12.36858379715558,3737.935393258394,0.3394951024673644,0.9751218020693155,-6.180469715697713,-6.180469715697713,-12.36093943139714,7.0,-19.360939431397142,MT
OPUSDT,loose,240,1787023285250,1787023293229,1787023313469,buy,0.0809,12.3533045089565,1.5147350711253087,4.059964e+17,-1.0,-6.180469715697713,-6.180469715697713,0.0,7.0,-7.0,MT
OPUSDT,loose,240,1787023350000,1787023356794,1787023377034,sell,0.0809,12.36858379715558,4163.147238057753,0.582489770976141,0.9777521190798373,-6.180469715697713,-6.180469715697713,-12.36093943139714,7.0,-19.360939431397142,MT
