lat_ms,side,signal_ts,fill_ts,close_ts,entry,exit,spread_signal_bp,flow_prev,flow_now,mark1_bp,mark5_bp,mark15_bp,gross_bp,fees_bp,net_bp,exit_mode,ret5_bp,ret15_bp,flow5,exit_qsec_proxy,aligned5,aligned15,flowalign
10,buy,1787023674750,1787023676668,1787023691678,0.001401,0.001401,7.135212272566056,-0.9999999999999905,0.9999999999999644,-3.5688793718777045,3.5688793718777045,3.5688793718777045,0.0,7.0,-7.0,MT,7.140307033916106,-35.54923569143273,-0.08402423919019784,1.5877657398526732,True,False,False
10,buy,1787023694250,1787023694669,1787023709679,0.001399,0.001396,7.1454090746689225,-0.890793336261491,0.7261696136178896,-3.5739814152971148,-39.313795568263615,-17.869907076482473,-21.44388849177959,7.0,-28.44388849177959,MT,0.0,-14.270424545130565,0.27252396663821027,0.7085131237037213,True,False,True
10,buy,1787023711750,1787023712530,1787023727540,0.001396,0.001391,7.160759040457685,-0.999999999999973,0.999999999999898,-10.74498567335386,3.5816618911179536,-32.23495702005848,-35.81661891117488,7.0,-42.81661891117488,MT,0.0,-7.155635061896415,-0.1941572626094076,3.484009659487062,True,False,False
10,sell,1787023732750,1787023733119,1787023740374,0.001393,0.001388,7.181328545780365,0.9897621338541004,-0.8899517140923741,3.5893754486708507,61.01938262742314,-3.589375448672408,35.89375448671941,4.0,31.89375448671941,MM,7.18648939992909,-28.6430361618323,0.4122577206225127,1.5273603127945115,False,True,False
10,sell,1787023761750,1787023764566,1787023769784,0.001386,0.001383,7.217610970769633,0.976787010513221,-0.9999999999999776,-3.607503607504086,18.037518037518865,46.89754689754687,21.64502164502295,4.0,17.64502164502295,MM,0.0,-57.4094007893791,0.6603173209881635,3.0096674553101996,True,True,False
10,sell,1787023781000,1787023782738,1787023797748,0.001381,0.001383,7.243752263673544,0.8874509303217913,-0.3285014401102468,-10.861694424330066,-18.10282404054959,-10.861694424330066,-14.48225923243904,7.0,-21.48225923243904,MT,-14.466546112116083,-36.088054853843474,0.2844996371386544,0.17980163473901958,True,True,False
10,buy,1787023805750,1787023807233,1787023822243,0.001387,0.001383,7.207207207206602,-0.8946713581833189,0.9999999999999982,-32.444124008651386,-25.234318673396043,-25.234318673396043,-28.83922134102449,7.0,-35.8392213410245,MT,21.6684723727006,28.91217925478955,0.2773057899694265,0.5028876218429609,True,True,True
10,buy,1787023831250,1787023832374,1787023837132,0.001383,0.001381,7.228044813878806,-0.9999999999999974,0.9535477817989794,-3.615328994937452,-10.845986984815491,-10.845986984815491,-14.461315979752944,7.0,-21.461315979752943,MT,-7.222824123510471,7.233273056057258,0.11240667039925874,5.082581575293309,False,True,True
240,buy,1787023674750,1787023676668,1787023691908,0.001401,0.001401,7.135212272566056,-0.9999999999999905,0.9999999999999644,-3.5688793718777045,3.5688793718777045,3.5688793718777045,0.0,7.0,-7.0,MT,7.140307033916106,-35.54923569143273,-0.08402423919019784,1.5877657398526732,True,False,False
240,buy,1787023694250,1787023694732,1787023709972,0.001399,0.001396,7.1454090746689225,-0.890793336261491,0.7261696136178896,-3.5739814152971148,-39.313795568263615,-17.869907076482473,-21.44388849177959,7.0,-28.44388849177959,MT,0.0,-14.270424545130565,0.27252396663821027,0.7085131237037213,True,False,True
240,buy,1787023711750,1787023712530,1787023727770,0.001396,0.001391,7.160759040457685,-0.999999999999973,0.999999999999898,-10.74498567335386,3.5816618911179536,-32.23495702005848,-35.81661891117488,7.0,-42.81661891117488,MT,0.0,-7.155635061896415,-0.1941572626094076,3.484009659487062,True,False,False
240,buy,1787023731750,1787023734841,1787023744715,0.001391,0.001392,7.186489399927531,-0.9999999999999926,0.6116119925623329,-53.91804457225109,-46.728971962618346,17.97268152408266,7.189072609632753,4.0,3.1890726096327526,MM,-7.181328545781922,-28.66356144751055,-0.23551225344152915,0.8366460376907656,False,False,False
240,buy,1787023748500,1787023750546,1787023765786,0.001393,0.001386,7.17617509867336,-0.8052939943452745,0.9999999999999448,-3.5893754486708507,-61.01938262742314,-46.66188083273352,-50.25125628140592,7.0,-57.25125628140592,MT,21.574973031283452,0.0,0.6515750019795142,14.744669687787873,True,True,True
240,buy,1787023766250,1787023769339,1787023784579,0.001385,0.001383,7.217610970769633,-0.7700907419035415,0.9999999999999986,3.610108303249577,3.610108303249577,-10.830324909747164,-14.44043321299674,7.0,-21.44043321299674,MT,7.222824124956074,-50.26929982046723,0.24309378652299565,0.02389945280275894,True,False,True
240,sell,1787023785000,1787023787608,1787023802848,0.001383,0.001385,7.233273056057258,0.8441975338249391,-0.9460109103115442,-3.61532899493902,3.615328994937452,-10.845986984815491,-14.461315979754511,7.0,-21.46131597975451,MT,21.747009786154145,-7.228044813877238,0.6070385191711903,2.2306929653932985,False,True,False
240,buy,1787023805750,1787023807366,1787023822606,0.001386,0.001383,7.207207207206602,-0.8946713581833189,0.9999999999999982,-25.25252525252548,-18.037518037518865,-18.037518037518865,-21.64502164502295,7.0,-28.64502164502295,MT,21.6684723727006,28.91217925478955,0.2773057899694265,0.5028876218429609,True,True,True
240,buy,1787023831250,1787023832374,1787023837132,0.001383,0.001381,7.228044813878806,-0.9999999999999974,0.9535477817989794,-3.615328994937452,-10.845986984815491,-10.845986984815491,-14.461315979752944,7.0,-21.461315979752943,MT,-7.222824123510471,7.233273056057258,0.11240667039925874,5.082581575293309,False,True,True
