lat_ms,profile,n,mean_net_bp,total_net_bp,mm_exit_rate,win_net,mean_ret5,mean_qsec
10,all,8,-13.438065978053572,-107.50452782442858,0.25,0.25,1.7882373213649052,2.0103233903779323
10,trend5,6,-19.65616105523251,-117.93696633139506,0.16666666666666666,0.16666666666666666,2.3903722157501037,1.5787742058226062
10,trend15,5,-5.848804084294825,-29.244020421474122,0.4,0.4,1.4331183074006266,2.060459719996
10,trend5_flow,2,-32.14155491640204,-64.28310983280409,0.0,0.0,10.8342361863503,0.6057003727733411
10,trend15_flow,2,-28.65026866038872,-57.30053732077744,0.0,0.0,7.222824124595064,2.792734598568135
10,trend5_q5,6,-19.65616105523251,-117.93696633139506,0.16666666666666666,0.16666666666666666,2.3903722157501037,1.5787742058226062
10,trend5_q2,4,-23.191342266310784,-92.76536906524314,0.0,0.0,3.585558323625156,0.7447420300345937
10,trend15_q5,4,-1.9456761104302949,-7.7827044417211795,0.5,0.5,3.597103915128401,1.3049292561716728
10,trend15_q2,3,-8.475908695581376,-25.42772608674413,0.3333333333333333,0.3333333333333333,4.796138553504535,0.736683189792164
240,all,9,-25.03675309913942,-225.3307778922548,0.1111111111111111,0.1111111111111111,7.216603742190886,3.244629540428269
240,trend5,6,-30.932869757063344,-185.59721854238006,0.0,0.0,9.601096093809373,3.508624214246175
240,trend15,4,-32.204727471484084,-128.81890988593634,0.0,0.0,14.44190776665693,5.64020796257936
240,trend5_flow,4,-33.9451499078013,-135.7805996312052,0.0,0.0,12.616567382235031,3.9949924715343283
240,trend15_flow,3,-35.785864635393935,-107.3575939061818,0.0,0.0,12.00687376015786,6.776712961641381
240,trend5_q5,5,-25.669192452194828,-128.34596226097415,0.0,0.0,7.206320706314555,1.2614151195378351
240,trend5_q2,4,-21.38233583744982,-85.52934334979928,0.0,0.0,9.007900882893194,0.7057664845505286
240,trend15_q5,2,-25.05316881238873,-50.10633762477746,0.0,0.0,21.70774107942737,1.3667902936181298
240,trend15_q2,1,-28.64502164502295,-28.64502164502295,0.0,0.0,21.6684723727006,0.5028876218429609
